"","qseqid","UniprotID","Accession","Gene","Hostcode","Specie","Phenotype","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","Genome"
"1168","NZ_NQJY01000020.1_64","A0A0F6B6Z8","PHI:6984","Mcpc","28901","Salmonella_enterica","reduced_virulence",83.3,48,8,0,362,409,360,407,4.71e-14,73.2,"GCF_002732285.1_ASM273228v1"
"1169","NZ_NQJY01000020.1_97","D4I235","PHI:7080__PHI:7444","Tssb-2__Eamy__3228","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",100,165,0,0,1,165,1,165,3.77e-111,311,"GCF_002732285.1_ASM273228v1"
"1170","NZ_NQJY01000020.1_98","D4I234","PHI:7081__PHI:7443","Tssc-2__Eamy__3227","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",100,513,0,0,1,513,3,515,0,1021,"GCF_002732285.1_ASM273228v1"
"1171","NZ_NQJY01000020.1_99","D4I233","PHI:7088__PHI:7442","Tssk-2__Eamy__3226","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",100,449,0,0,1,449,1,449,0,895,"GCF_002732285.1_ASM273228v1"
"1172","NZ_NQJY01000020.1_100","D4I232","PHI:7089__PHI:7441","Tssl-3__Eamy__3225","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",100,225,0,0,1,225,1,225,5.72e-165,452,"GCF_002732285.1_ASM273228v1"
"1173","NZ_NQJY01000020.1_101","D4I231","PHI:7440","Eamy__3224","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",100,551,0,0,1,551,1,551,0,1097,"GCF_002732285.1_ASM273228v1"
"1174","NZ_NQJY01000020.1_102","D4I230","PHI:7108__PHI:7439","Hcp-2__Eamy__3223","552","Erwinia_amylovora","effector_(plant_avirulence_determinant)__unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",100,163,0,0,1,163,1,163,6.85e-122,338,"GCF_002732285.1_ASM273228v1"
"1175","NZ_NQJY01000020.1_103","D4I229","PHI:7094__PHI:7438","Clpv-2__Eamy__3222","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",99.9,886,1,0,1,886,1,886,0,1705,"GCF_002732285.1_ASM273228v1"
"1176","NZ_NQJY01000020.1_104","D4I228","PHI:7437","Eamy__3221","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",100,69,0,0,1,69,1,69,1.44e-45,138,"GCF_002732285.1_ASM273228v1"
"1177","NZ_NQJY01000020.1_105","D4I227","PHI:7093__PHI:7436","Vgrg-2__Eamy__3220","552","Erwinia_amylovora","effector_(plant_avirulence_determinant)__unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",99.9,785,1,0,1,785,1,785,0,1518,"GCF_002732285.1_ASM273228v1"
"1178","NZ_NQJY01000020.1_106","D4I226","PHI:7435","Eamy__3219","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",99.4,176,1,0,1,176,4,179,4.49e-134,370,"GCF_002732285.1_ASM273228v1"
"1179","NZ_NQJY01000020.1_107","D4I225","PHI:7434","Eamy__3218","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",100,89,0,0,1,89,1,89,2.58e-66,192,"GCF_002732285.1_ASM273228v1"
"1180","NZ_NQJY01000020.1_108","D4I224","PHI:7433","Eamy__3217","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",100,402,0,0,14,415,1,402,6.25e-300,809,"GCF_002732285.1_ASM273228v1"
"1181","NZ_NQJY01000020.1_109","D4I223","PHI:7091__PHI:7432","Tssm-3__Eamy__3216","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",99.9,1123,1,0,1,1123,1,1123,0,2216,"GCF_002732285.1_ASM273228v1"
"1182","NZ_NQJY01000020.1_110","D4I222","PHI:7078__PHI:7431","Tssa-2__Eamy__3215","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",100,535,0,0,1,535,1,535,0,1073,"GCF_002732285.1_ASM273228v1"
"1183","NZ_NQJY01000020.1_111","D4I221","PHI:7083__PHI:7430","Tssf-2__Eamy__3214","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",100,589,0,0,1,589,1,589,0,1208,"GCF_002732285.1_ASM273228v1"
"1184","NZ_NQJY01000020.1_112","D4I220","PHI:7085__PHI:7429","Tssg-2__Eamy__3213","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",100,360,0,0,1,360,1,360,1.17e-268,726,"GCF_002732285.1_ASM273228v1"
"1185","NZ_NQJY01000020.1_113","D4I219","PHI:7086__PHI:7428","Tssj-2__Eamy__3212","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",99.4,174,1,0,1,174,1,174,9.91e-125,347,"GCF_002732285.1_ASM273228v1"
"1186","NZ_NQJY01000020.1_114","D4I218","PHI:7110__PHI:7427","Vgrg-4__Eamy__3211","552","Erwinia_amylovora","effector_(plant_avirulence_determinant)__unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",99.8,533,1,0,1,533,1,533,0,1092,"GCF_002732285.1_ASM273228v1"
"1187","NZ_NQKA01000006.1_1","D4I218","PHI:7110__PHI:7427","Vgrg-4__Eamy__3211","552","Erwinia_amylovora","effector_(plant_avirulence_determinant)__unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",99.1,109,1,0,1,109,662,770,1.09e-67,215,"GCF_002732295.1_ASM273229v1"
"1188","NZ_NQKA01000006.1_2","D4I217","PHI:7426","Eamy__3210","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",100,184,0,0,1,184,1,184,3.54e-132,366,"GCF_002732295.1_ASM273229v1"
"1189","NZ_NQKA01000006.1_3","D4I216","PHI:7425","Eamy__3209","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",94.6,257,7,2,1,257,1,250,1.48e-177,495,"GCF_002732295.1_ASM273229v1"
"1190","NZ_NQKA01000006.1_5","D4I215","PHI:7424","Eamy__3208","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",99.6,247,1,0,1,247,1,247,1.06e-180,494,"GCF_002732295.1_ASM273229v1"
"1191","NZ_NQKA01000006.1_6","D4I219","PHI:7086__PHI:7428","Tssj-2__Eamy__3212","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",100,110,0,0,1,110,56,165,2.5e-76,221,"GCF_002732295.1_ASM273229v1"
"1192","NZ_NQKA01000006.1_7","D4I213","PHI:7422","Eamy__3206","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",100,194,0,0,1,194,1,194,1.18e-144,399,"GCF_002732295.1_ASM273229v1"
"1193","NZ_NQKA01000006.1_9","D4I211","PHI:7420","Eamy__3204","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",100,111,0,0,1,111,1,111,2.28e-77,228,"GCF_002732295.1_ASM273229v1"
"1194","NZ_NQKB01000047.1_1","D4I218","PHI:7110__PHI:7427","Vgrg-4__Eamy__3211","552","Erwinia_amylovora","effector_(plant_avirulence_determinant)__unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",99.1,109,1,0,1,109,662,770,1.09e-67,215,"GCF_002732315.1_ASM273231v1"
"1195","NZ_NQKB01000047.1_2","D4I217","PHI:7426","Eamy__3210","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",100,184,0,0,1,184,1,184,3.54e-132,366,"GCF_002732315.1_ASM273231v1"
"1196","NZ_NQKB01000047.1_3","D4I216","PHI:7425","Eamy__3209","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",94.6,257,7,2,1,257,1,250,1.48e-177,495,"GCF_002732315.1_ASM273231v1"
"1197","NZ_NQKB01000047.1_5","D4I215","PHI:7424","Eamy__3208","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",99.6,247,1,0,1,247,1,247,1.06e-180,494,"GCF_002732315.1_ASM273231v1"
"1198","NZ_NQKB01000047.1_6","D4I219","PHI:7086__PHI:7428","Tssj-2__Eamy__3212","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",100,110,0,0,1,110,56,165,2.5e-76,221,"GCF_002732315.1_ASM273231v1"
"1199","NZ_NQKB01000047.1_7","D4I213","PHI:7422","Eamy__3206","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",100,194,0,0,1,194,1,194,1.18e-144,399,"GCF_002732315.1_ASM273231v1"
"1200","NZ_NQKB01000047.1_9","D4I211","PHI:7420","Eamy__3204","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",100,111,0,0,1,111,1,111,2.28e-77,228,"GCF_002732315.1_ASM273231v1"
"1201","NZ_NQKC01000049.1_36","P32705","PHI:9229","Actp","562","Escherichia_coli","reduced_virulence__unaffected_pathogenicity",84.2,549,86,1,4,552,2,549,0,882,"GCF_002732335.1_ASM273233v1"
"1202","NZ_NQKC01000049.1_38","P27550","PHI:9227","Acs","562","Escherichia_coli","reduced_virulence__unaffected_pathogenicity",84.9,651,98,0,1,651,1,651,0,1152,"GCF_002732335.1_ASM273233v1"
"1203","NZ_NQKC01000049.1_39","P21345","PHI:124242","Gltp","562","Escherichia_coli","reduced_virulence",81.8,429,78,0,1,429,1,429,3.45e-239,658,"GCF_002732335.1_ASM273233v1"
"1204","NZ_NQKC01000049.1_73","D4I235","PHI:7080__PHI:7444","Tssb-2__Eamy__3228","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",100,164,0,0,1,164,1,164,1.54e-110,310,"GCF_002732335.1_ASM273233v1"
"1205","NZ_NQKC01000049.1_74","D4I234","PHI:7081__PHI:7443","Tssc-2__Eamy__3227","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",100,513,0,0,1,513,3,515,0,1021,"GCF_002732335.1_ASM273233v1"
"1206","NZ_NQKC01000049.1_75","D4I233","PHI:7088__PHI:7442","Tssk-2__Eamy__3226","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",99.8,449,1,0,1,449,1,449,0,894,"GCF_002732335.1_ASM273233v1"
"1207","NZ_NQKC01000049.1_76","D4I232","PHI:7089__PHI:7441","Tssl-3__Eamy__3225","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",100,225,0,0,1,225,1,225,5.72e-165,452,"GCF_002732335.1_ASM273233v1"
"1208","NZ_NQKC01000049.1_77","D4I231","PHI:7440","Eamy__3224","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",99.6,551,2,0,1,551,1,551,0,1090,"GCF_002732335.1_ASM273233v1"
"1209","NZ_NQKC01000049.1_78","D4I230","PHI:7108__PHI:7439","Hcp-2__Eamy__3223","552","Erwinia_amylovora","effector_(plant_avirulence_determinant)__unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",100,163,0,0,1,163,1,163,6.85e-122,338,"GCF_002732335.1_ASM273233v1"
"1210","NZ_NQKC01000049.1_79","D4I229","PHI:7094__PHI:7438","Clpv-2__Eamy__3222","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",99.9,886,1,0,1,886,1,886,0,1705,"GCF_002732335.1_ASM273233v1"
"1211","NZ_NQKC01000049.1_80","D4I228","PHI:7437","Eamy__3221","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",100,65,0,0,1,65,1,65,8.55e-41,127,"GCF_002732335.1_ASM273233v1"
"1212","NZ_NQKC01000049.1_81","D4I227","PHI:7093__PHI:7436","Vgrg-2__Eamy__3220","552","Erwinia_amylovora","effector_(plant_avirulence_determinant)__unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",99.6,785,3,0,1,785,1,785,0,1514,"GCF_002732335.1_ASM273233v1"
"1213","NZ_NQKC01000049.1_82","D4I226","PHI:7435","Eamy__3219","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",98.3,176,3,0,1,176,4,179,1.02e-130,362,"GCF_002732335.1_ASM273233v1"
"1214","NZ_NQKC01000049.1_83","D4I225","PHI:7434","Eamy__3218","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",97.8,89,2,0,1,89,1,89,1.75e-64,187,"GCF_002732335.1_ASM273233v1"
"1215","NZ_NQKC01000049.1_84","D4I224","PHI:7433","Eamy__3217","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",99.5,402,2,0,14,415,1,402,4.21e-298,805,"GCF_002732335.1_ASM273233v1"
"1216","NZ_NQKC01000049.1_85","D4I223","PHI:7091__PHI:7432","Tssm-3__Eamy__3216","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",99.6,1123,4,0,1,1123,1,1123,0,2212,"GCF_002732335.1_ASM273233v1"
"1217","NZ_NQKC01000049.1_86","D4I222","PHI:7078__PHI:7431","Tssa-2__Eamy__3215","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",99.8,535,1,0,1,535,1,535,0,1072,"GCF_002732335.1_ASM273233v1"
"1218","NZ_NQKC01000049.1_87","D4I221","PHI:7083__PHI:7430","Tssf-2__Eamy__3214","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",99.8,589,1,0,1,589,1,589,0,1206,"GCF_002732335.1_ASM273233v1"
"1219","NZ_NQKC01000049.1_88","D4I220","PHI:7085__PHI:7429","Tssg-2__Eamy__3213","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",100,360,0,0,1,360,1,360,1.17e-268,726,"GCF_002732335.1_ASM273233v1"
"1220","NZ_NQKC01000049.1_89","D4I219","PHI:7086__PHI:7428","Tssj-2__Eamy__3212","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",97.3,149,4,0,1,149,1,149,2.97e-101,286,"GCF_002732335.1_ASM273233v1"
"1221","NZ_NQKC01000011.1_1","D4I213","PHI:7422","Eamy__3206","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",97.1,35,1,0,1,35,1,35,2.16e-21,79.3,"GCF_002732335.1_ASM273233v1"
"1222","NZ_NQKC01000011.1_2","D4I214","PHI:7423","Eamy__3207","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",98.6,141,2,0,1,141,1,141,2.82e-99,280,"GCF_002732335.1_ASM273233v1"
"1223","NZ_NQKC01000011.1_3","D4I215","PHI:7424","Eamy__3208","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",99.6,247,1,0,1,247,1,247,1.06e-180,494,"GCF_002732335.1_ASM273233v1"
"1224","NZ_NQKC01000011.1_5","D4I216","PHI:7425","Eamy__3209","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",82.4,68,5,2,1,68,190,250,8.72e-26,100,"GCF_002732335.1_ASM273233v1"
"1225","NZ_NQKC01000011.1_6","D4I216","PHI:7425","Eamy__3209","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",93.4,196,13,0,1,196,1,196,1.72e-139,389,"GCF_002732335.1_ASM273233v1"
"1226","NZ_NQKC01000011.1_7","D4I217","PHI:7426","Eamy__3210","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",98.9,184,2,0,1,184,1,184,1.19e-130,362,"GCF_002732335.1_ASM273233v1"
"1227","NZ_NQKC01000011.1_8","D4I218","PHI:7110__PHI:7427","Vgrg-4__Eamy__3211","552","Erwinia_amylovora","effector_(plant_avirulence_determinant)__unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",98.6,770,11,0,1,770,1,770,0,1481,"GCF_002732335.1_ASM273233v1"
"1228","NZ_NQKC01000011.1_9","D4I214","PHI:7423","Eamy__3207","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",100,66,0,0,1,66,76,141,1.34e-45,140,"GCF_002732335.1_ASM273233v1"
"1229","NZ_NQKC01000064.1_54","P60651","PHI:9150","Speb","562","Escherichia_coli","reduced_virulence__unaffected_pathogenicity",80.1,302,60,0,4,305,3,304,1.22e-186,514,"GCF_002732335.1_ASM273233v1"
"1230","NZ_NQKC01000064.1_56","P21170","PHI:124410","Spea_(np_417413.1)","1778540","Dickeya_fangzhongdai","reduced_virulence",87.1,658,85,0,1,658,1,658,0,1170,"GCF_002732335.1_ASM273233v1"
"1231","NZ_NQJM01000003.1_21","Q883C0","PHI:123179","Pscc_(pspto_2448)","317","Pseudomonas_syringae","reduced_virulence__unaffected_pathogenicity",89.7,29,3,0,139,167,486,514,5.95e-08,50.8,"GCF_002732365.1_ASM273236v1"
"1232","NZ_NQJS01000080.1_1","D4I218","PHI:7110__PHI:7427","Vgrg-4__Eamy__3211","552","Erwinia_amylovora","effector_(plant_avirulence_determinant)__unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",100,109,0,0,1,109,662,770,2.91e-68,216,"GCF_002732405.1_ASM273240v1"
"1233","NZ_NQJS01000080.1_2","D4I217","PHI:7426","Eamy__3210","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",100,184,0,0,1,184,1,184,3.54e-132,366,"GCF_002732405.1_ASM273240v1"
"1234","NZ_NQJS01000080.1_3","D4I216","PHI:7425","Eamy__3209","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",100,260,0,0,1,260,1,260,5.12e-199,541,"GCF_002732405.1_ASM273240v1"
"1235","NZ_NQJS01000080.1_6","D4I215","PHI:7424","Eamy__3208","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",100,247,0,0,1,247,1,247,1.84e-181,496,"GCF_002732405.1_ASM273240v1"
"1236","NZ_NQJS01000080.1_7","D4I219","PHI:7086__PHI:7428","Tssj-2__Eamy__3212","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",100,110,0,0,1,110,56,165,2.5e-76,221,"GCF_002732405.1_ASM273240v1"
"1237","NZ_NQJS01000080.1_8","D4I213","PHI:7422","Eamy__3206","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",100,194,0,0,1,194,1,194,1.18e-144,399,"GCF_002732405.1_ASM273240v1"
"1238","NZ_NQJS01000080.1_10","D4I211","PHI:7420","Eamy__3204","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",100,111,0,0,1,111,1,111,2.28e-77,228,"GCF_002732405.1_ASM273240v1"
"1239","NZ_NQJS01000083.1_37","P32705","PHI:9229","Actp","562","Escherichia_coli","reduced_virulence__unaffected_pathogenicity",84,549,87,1,4,552,2,549,0,882,"GCF_002732405.1_ASM273240v1"
"1240","NZ_NQJS01000083.1_39","P27550","PHI:9227","Acs","562","Escherichia_coli","reduced_virulence__unaffected_pathogenicity",84.9,651,98,0,1,651,1,651,0,1152,"GCF_002732405.1_ASM273240v1"
"1241","NZ_NQJS01000083.1_40","P21345","PHI:124242","Gltp","562","Escherichia_coli","reduced_virulence",81.6,429,79,0,1,429,1,429,9.87e-239,657,"GCF_002732405.1_ASM273240v1"
"1242","NZ_NQJS01000083.1_41","A0A0F6B6Z8","PHI:6984","Mcpc","28901","Salmonella_enterica","reduced_virulence",83.3,48,8,0,362,409,360,407,4.71e-14,73.2,"GCF_002732405.1_ASM273240v1"
"1243","NZ_NQJS01000083.1_74","D4I235","PHI:7080__PHI:7444","Tssb-2__Eamy__3228","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",100,165,0,0,1,165,1,165,3.77e-111,311,"GCF_002732405.1_ASM273240v1"
"1244","NZ_NQJS01000083.1_75","D4I234","PHI:7081__PHI:7443","Tssc-2__Eamy__3227","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",100,513,0,0,1,513,3,515,0,1021,"GCF_002732405.1_ASM273240v1"
"1245","NZ_NQJS01000083.1_76","D4I233","PHI:7088__PHI:7442","Tssk-2__Eamy__3226","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",100,449,0,0,1,449,1,449,0,895,"GCF_002732405.1_ASM273240v1"
"1246","NZ_NQJS01000083.1_77","D4I232","PHI:7089__PHI:7441","Tssl-3__Eamy__3225","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",100,225,0,0,1,225,1,225,5.72e-165,452,"GCF_002732405.1_ASM273240v1"
"1247","NZ_NQJS01000083.1_78","D4I231","PHI:7440","Eamy__3224","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",100,551,0,0,1,551,1,551,0,1097,"GCF_002732405.1_ASM273240v1"
"1248","NZ_NQJS01000083.1_79","D4I230","PHI:7108__PHI:7439","Hcp-2__Eamy__3223","552","Erwinia_amylovora","effector_(plant_avirulence_determinant)__unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",100,163,0,0,1,163,1,163,6.85e-122,338,"GCF_002732405.1_ASM273240v1"
"1249","NZ_NQJS01000083.1_80","D4I229","PHI:7094__PHI:7438","Clpv-2__Eamy__3222","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",100,886,0,0,1,886,1,886,0,1707,"GCF_002732405.1_ASM273240v1"
"1250","NZ_NQJS01000083.1_81","D4I228","PHI:7437","Eamy__3221","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",100,69,0,0,1,69,1,69,1.44e-45,138,"GCF_002732405.1_ASM273240v1"
"1251","NZ_NQJS01000083.1_82","D4I227","PHI:7093__PHI:7436","Vgrg-2__Eamy__3220","552","Erwinia_amylovora","effector_(plant_avirulence_determinant)__unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",100,785,0,0,1,785,1,785,0,1519,"GCF_002732405.1_ASM273240v1"
"1252","NZ_NQJS01000083.1_83","D4I226","PHI:7435","Eamy__3219","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",100,176,0,0,1,176,4,179,5.46e-135,373,"GCF_002732405.1_ASM273240v1"
"1253","NZ_NQJS01000083.1_84","D4I225","PHI:7434","Eamy__3218","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",100,89,0,0,1,89,1,89,2.58e-66,192,"GCF_002732405.1_ASM273240v1"
"1254","NZ_NQJS01000083.1_85","D4I224","PHI:7433","Eamy__3217","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",100,402,0,0,14,415,1,402,6.25e-300,809,"GCF_002732405.1_ASM273240v1"
"1255","NZ_NQJS01000083.1_86","D4I223","PHI:7091__PHI:7432","Tssm-3__Eamy__3216","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",100,1123,0,0,1,1123,1,1123,0,2219,"GCF_002732405.1_ASM273240v1"
"1256","NZ_NQJS01000083.1_87","D4I222","PHI:7078__PHI:7431","Tssa-2__Eamy__3215","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",100,535,0,0,1,535,1,535,0,1073,"GCF_002732405.1_ASM273240v1"
"1257","NZ_NQJS01000083.1_88","D4I221","PHI:7083__PHI:7430","Tssf-2__Eamy__3214","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",100,589,0,0,1,589,1,589,0,1208,"GCF_002732405.1_ASM273240v1"
"1258","NZ_NQJS01000083.1_89","D4I220","PHI:7085__PHI:7429","Tssg-2__Eamy__3213","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",100,360,0,0,1,360,1,360,1.17e-268,726,"GCF_002732405.1_ASM273240v1"
"1259","NZ_NQJS01000083.1_90","D4I219","PHI:7086__PHI:7428","Tssj-2__Eamy__3212","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",100,165,0,0,1,165,1,165,1.74e-118,330,"GCF_002732405.1_ASM273240v1"
"1260","NZ_NQJS01000083.1_91","D4I218","PHI:7110__PHI:7427","Vgrg-4__Eamy__3211","552","Erwinia_amylovora","effector_(plant_avirulence_determinant)__unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",100,533,0,0,1,533,1,533,0,1094,"GCF_002732405.1_ASM273240v1"
"1261","NZ_NQJT01000017.1_1","D4I218","PHI:7110__PHI:7427","Vgrg-4__Eamy__3211","552","Erwinia_amylovora","effector_(plant_avirulence_determinant)__unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",99.1,109,1,0,1,109,662,770,1.09e-67,215,"GCF_002732425.1_ASM273242v1"
"1262","NZ_NQJT01000017.1_2","D4I217","PHI:7426","Eamy__3210","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",100,184,0,0,1,184,1,184,3.54e-132,366,"GCF_002732425.1_ASM273242v1"
"1263","NZ_NQJT01000017.1_3","D4I216","PHI:7425","Eamy__3209","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",94.6,257,7,2,1,257,1,250,1.48e-177,495,"GCF_002732425.1_ASM273242v1"
"1264","NZ_NQJT01000017.1_5","D4I215","PHI:7424","Eamy__3208","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",99.6,247,1,0,1,247,1,247,1.06e-180,494,"GCF_002732425.1_ASM273242v1"
"1265","NZ_NQJT01000017.1_6","D4I219","PHI:7086__PHI:7428","Tssj-2__Eamy__3212","552","Erwinia_amylovora","reduced_virulence__unaffected_pathogenicity__increased_virulence_(hypervirulence)",100,110,0,0,1,110,56,165,2.5e-76,221,"GCF_002732425.1_ASM273242v1"
"1266","NZ_NQJT01000017.1_7","D4I213","PHI:7422","Eamy__3206","552","Erwinia_amylovora","unaffected_pathogenicity__increased_virulence_(hypervirulence)__reduced_virulence",100,194,0,0,1,194,1,194,1.18e-144,399,"GCF_002732425.1_ASM273242v1"
