"","contig_id","contig_length","provirus","proviral_length","gene_count","viral_genes","host_genes","checkv_quality","miuvig_quality","completeness","completeness_method","contamination","kmer_freq","warnings","Genome","contig_fasta","Genomefasta"
"443","NZ_MAYS01000442.1",2891,"No",NA,2,0,0,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCF_001756855.1_ASM175685v1","NZ_MAYS01000442.1","CheckV/GCF_001756855.1"
"444","NZ_MAYS01000443.1",1686,"No",NA,3,1,0,"Low-quality","Genome-fragment",4.1,"AAI-based","(medium-confidence)",0,"1.0","CheckV/GCF_001756855.1_ASM175685v1","NZ_MAYS01000443.1","CheckV/GCF_001756855.1"
"445","NZ_MAYS01000453.1",4754,"No",NA,6,1,0,"Low-quality","Genome-fragment",3.12,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_001756855.1_ASM175685v1","NZ_MAYS01000453.1","CheckV/GCF_001756855.1"
"446","NZ_MAYS01000457.1",2702,"Yes",1220,7,1,3,"Low-quality","Genome-fragment",2.04,"AAI-based","(high-confidence)",54.85,"1.0","CheckV/GCF_001756855.1_ASM175685v1","NZ_MAYS01000457.1","CheckV/GCF_001756855.1"
"447","NZ_MAYS01000468.1",2862,"Yes",2270,3,1,1,"Low-quality","Genome-fragment",7.56,"AAI-based","(high-confidence)",20.68,"1.0","CheckV/GCF_001756855.1_ASM175685v1","NZ_MAYS01000468.1","CheckV/GCF_001756855.1"
"448","NZ_MAYS01000478.1",2659,"No",NA,3,1,0,"Low-quality","Genome-fragment",7.34,"AAI-based","(medium-confidence)",0,"1.0","CheckV/GCF_001756855.1_ASM175685v1","NZ_MAYS01000478.1","CheckV/GCF_001756855.1"
"449","NZ_MAYS01000481.1",1186,"Yes",718,3,1,1,"Low-quality","Genome-fragment",2.28,"AAI-based","(high-confidence)",39.46,"1.0","CheckV/GCF_001756855.1_ASM175685v1","NZ_MAYS01000481.1","CheckV/GCF_001756855.1"
"450","NZ_MAYS01000496.1",1765,"No",NA,4,2,0,"Low-quality","Genome-fragment",4.99,"AAI-based","(medium-confidence)",0,"1.01","CheckV/GCF_001756855.1_ASM175685v1","NZ_MAYS01000496.1","CheckV/GCF_001756855.1"
"451","NZ_MAYS01000499.1",6950,"No",NA,9,9,0,"Low-quality","Genome-fragment",20.22,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_001756855.1_ASM175685v1","NZ_MAYS01000499.1","CheckV/GCF_001756855.1"
"452","NZ_MAYS01000510.1",3380,"No",NA,9,4,0,"Low-quality","Genome-fragment",10.23,"AAI-based","(medium-confidence)",0,"1.0","CheckV/GCF_001756855.1_ASM175685v1","NZ_MAYS01000510.1","CheckV/GCF_001756855.1"
"453","NZ_MAYS01000511.1",2852,"No",NA,6,4,0,"Low-quality","Genome-fragment",8.46,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_001756855.1_ASM175685v1","NZ_MAYS01000511.1","CheckV/GCF_001756855.1"
"454","NZ_MAYS01000529.1",1471,"No",NA,2,1,0,"Low-quality","Genome-fragment",3.21,"AAI-based","(medium-confidence)",0,"1.0","CheckV/GCF_001756855.1_ASM175685v1","NZ_MAYS01000529.1","CheckV/GCF_001756855.1"
"455","NZ_MAYS01000552.1",2107,"No",NA,3,3,0,"Low-quality","Genome-fragment",5.45,"AAI-based","(medium-confidence)",0,"1.0","CheckV/GCF_001756855.1_ASM175685v1","NZ_MAYS01000552.1","CheckV/GCF_001756855.1"
"456","NZ_MAYS01000554.1",1242,"No",NA,2,2,0,"Low-quality","Genome-fragment",3.84,"AAI-based","(medium-confidence)",0,"1.0","CheckV/GCF_001756855.1_ASM175685v1","NZ_MAYS01000554.1","CheckV/GCF_001756855.1"
"457","NZ_MAYS01000559.1",3997,"No",NA,6,5,0,"Low-quality","Genome-fragment",11.84,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_001756855.1_ASM175685v1","NZ_MAYS01000559.1","CheckV/GCF_001756855.1"
"458","NZ_MAYS01000592.1",3048,"Yes",2452,5,3,1,"Low-quality","Genome-fragment",5.23,"AAI-based","(medium-confidence)",19.55,"1.0","CheckV/GCF_001756855.1_ASM175685v1","NZ_MAYS01000592.1","CheckV/GCF_001756855.1"
"459","NZ_MAYS01000593.1",1480,"Yes",957,4,1,1,"Low-quality","Genome-fragment",2.02,"AAI-based","(medium-confidence)",35.34,"1.0","CheckV/GCF_001756855.1_ASM175685v1","NZ_MAYS01000593.1","CheckV/GCF_001756855.1"
"460","NZ_MAYS01000597.1",1724,"No",NA,4,2,0,"Low-quality","Genome-fragment",2.22,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_001756855.1_ASM175685v1","NZ_MAYS01000597.1","CheckV/GCF_001756855.1"
"461","NZ_MAYS01000599.1",4238,"No",NA,10,3,0,"Low-quality","Genome-fragment",7.14,"AAI-based","(high-confidence)",0,"1.03","CheckV/GCF_001756855.1_ASM175685v1","NZ_MAYS01000599.1","CheckV/GCF_001756855.1"
"462","NZ_MAYS01000601.1",10152,"No",NA,25,8,0,"Low-quality","Genome-fragment",29.08,"AAI-based","(medium-confidence)",0,"1.0","CheckV/GCF_001756855.1_ASM175685v1","NZ_MAYS01000601.1","CheckV/GCF_001756855.1"
"463","NZ_MAYS01000172.1|provirus_11_8677",8667,"No",NA,15,3,1,"Low-quality","Genome-fragment",26.07,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_001756855.1_ASM175685v1","NZ_MAYS01000172.1","CheckV/GCF_001756855.1"
"464","NZ_MAYS01000334.1|provirus_2979_23416",20438,"No",NA,28,17,0,"Medium-quality","Genome-fragment",64.56,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_001756855.1_ASM175685v1","NZ_MAYS01000334.1","CheckV/GCF_001756855.1"
"465","NZ_NQJL01000001.1|provirus_421395_437232",15838,"No",NA,20,7,1,"Low-quality","Genome-fragment",29.1,"AAI-based","(high-confidence)",0,"1","CheckV/GCF_002732125.1_ASM273212v1","NZ_NQJL01000001.1","CheckV/GCF_002732125.1"
"466","NZ_NQJN01000001.1|provirus_421714_437114",15401,"No",NA,20,8,1,"Low-quality","Genome-fragment",27.58,"AAI-based","(medium-confidence)",0,"1","CheckV/GCF_002732175.1_ASM273217v1","NZ_NQJN01000001.1","CheckV/GCF_002732175.1"
"467","NZ_NQJO01000001.1|provirus_421552_437388",15837,"No",NA,20,7,1,"Low-quality","Genome-fragment",29.09,"AAI-based","(high-confidence)",0,"1","CheckV/GCF_002732205.1_ASM273220v1","NZ_NQJO01000001.1","CheckV/GCF_002732205.1"
"468","NZ_NQJQ01000074.1",453,"No",NA,1,0,0,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCF_002732215.1_ASM273221v1","NZ_NQJQ01000074.1","CheckV/GCF_002732215.1"
"469","NZ_NQJQ01000059.1|provirus_385_11847",11463,"No",NA,14,5,1,"Low-quality","Genome-fragment",20.32,"AAI-based","(medium-confidence)",0,"1.0","CheckV/GCF_002732215.1_ASM273221v1","NZ_NQJQ01000059.1","CheckV/GCF_002732215.1"
"470","NZ_NQJW01000006.1|provirus_385_11847",11463,"No",NA,14,5,1,"Low-quality","Genome-fragment",20.32,"AAI-based","(medium-confidence)",0,"1","CheckV/GCF_002732245.1_ASM273224v1","NZ_NQJW01000006.1","CheckV/GCF_002732245.1"
"471","NZ_NQJR01000026.1|provirus_385_11847",11463,"No",NA,14,5,1,"Low-quality","Genome-fragment",20.32,"AAI-based","(medium-confidence)",0,"1","CheckV/GCF_002732255.1_ASM273225v1","NZ_NQJR01000026.1","CheckV/GCF_002732255.1"
"472","NZ_NQJY01000038.1",4182,"No",NA,5,0,0,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCF_002732285.1_ASM273228v1","NZ_NQJY01000038.1","CheckV/GCF_002732285.1"
"473","NZ_NQJY01000020.1|provirus_24084_39893",15810,"No",NA,18,7,1,"Low-quality","Genome-fragment",29.11,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_002732285.1_ASM273228v1","NZ_NQJY01000020.1","CheckV/GCF_002732285.1"
"474","NZ_NQKA01000024.1|provirus_24078_39915",15838,"No",NA,20,7,1,"Low-quality","Genome-fragment",29.1,"AAI-based","(high-confidence)",0,"1","CheckV/GCF_002732295.1_ASM273229v1","NZ_NQKA01000024.1","CheckV/GCF_002732295.1"
"475","NZ_NQKB01000030.1|provirus_24171_40008",15838,"No",NA,20,7,1,"Low-quality","Genome-fragment",29.1,"AAI-based","(high-confidence)",0,"1","CheckV/GCF_002732315.1_ASM273231v1","NZ_NQKB01000030.1","CheckV/GCF_002732315.1"
"476","NZ_NQKC01000049.1|provirus_259_11712",11454,"No",NA,13,5,1,"Low-quality","Genome-fragment",20.39,"AAI-based","(medium-confidence)",0,"1","CheckV/GCF_002732335.1_ASM273233v1","NZ_NQKC01000049.1","CheckV/GCF_002732335.1"
"477","NZ_NQKC01000048.1|provirus_1250323_1271018",20696,"No",NA,27,6,0,"Low-quality","Genome-fragment",29.44,"HMM-based","(lower-bound)",0,"1","CheckV/GCF_002732335.1_ASM273233v1","NZ_NQKC01000048.1","CheckV/GCF_002732335.1"
"478","NZ_NQJM01000001.1|provirus_421306_437141",15836,"No",NA,19,8,1,"Low-quality","Genome-fragment",29.09,"AAI-based","(high-confidence)",0,"1","CheckV/GCF_002732365.1_ASM273236v1","NZ_NQJM01000001.1","CheckV/GCF_002732365.1"
"479","NZ_NQJP01000001.1|provirus_438309_454146",15838,"No",NA,20,7,1,"Low-quality","Genome-fragment",29.1,"AAI-based","(high-confidence)",0,"1","CheckV/GCF_002732385.1_ASM273238v1","NZ_NQJP01000001.1","CheckV/GCF_002732385.1"
"480","NZ_NQJS01000083.1|provirus_385_11847",11463,"No",NA,14,5,1,"Low-quality","Genome-fragment",20.32,"AAI-based","(medium-confidence)",0,"1","CheckV/GCF_002732405.1_ASM273240v1","NZ_NQJS01000083.1","CheckV/GCF_002732405.1"
"481","NZ_NQJT01000039.1",4182,"No",NA,5,0,0,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCF_002732425.1_ASM273242v1","NZ_NQJT01000039.1","CheckV/GCF_002732425.1"
"482","NZ_NQJT01000045.1|provirus_24084_39893",15810,"No",NA,18,7,1,"Low-quality","Genome-fragment",29.11,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_002732425.1_ASM273242v1","NZ_NQJT01000045.1","CheckV/GCF_002732425.1"
"483","NZ_NQJV01000001.1",4084,"No",NA,5,0,0,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCF_002732435.1_ASM273243v1","NZ_NQJV01000001.1","CheckV/GCF_002732435.1"
"484","NZ_NQJV01000010.1|provirus_24078_39915",15838,"No",NA,20,7,1,"Low-quality","Genome-fragment",29.1,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_002732435.1_ASM273243v1","NZ_NQJV01000010.1","CheckV/GCF_002732435.1"
"485","NZ_NQJU01000046.1",3625,"No",NA,5,0,0,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCF_002732445.1_ASM273244v1","NZ_NQJU01000046.1","CheckV/GCF_002732445.1"
"486","NZ_NQJU01000031.1",2915,"No",NA,3,0,0,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCF_002732445.1_ASM273244v1","NZ_NQJU01000031.1","CheckV/GCF_002732445.1"
"487","NZ_NQJU01000045.1|provirus_24084_39894",15811,"No",NA,18,7,1,"Low-quality","Genome-fragment",29.12,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_002732445.1_ASM273244v1","NZ_NQJU01000045.1","CheckV/GCF_002732445.1"
"488","NZ_NQJX01000023.1",4084,"No",NA,5,0,0,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCF_002732485.1_ASM273248v1","NZ_NQJX01000023.1","CheckV/GCF_002732485.1"
"489","NZ_NQJX01000036.1|provirus_24005_39842",15838,"No",NA,20,7,1,"Low-quality","Genome-fragment",29.1,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_002732485.1_ASM273248v1","NZ_NQJX01000036.1","CheckV/GCF_002732485.1"
"490","NZ_NQJZ01000004.1|provirus_385_11847",11463,"No",NA,14,5,1,"Low-quality","Genome-fragment",20.32,"AAI-based","(medium-confidence)",0,"1","CheckV/GCF_002732505.1_ASM273250v1","NZ_NQJZ01000004.1","CheckV/GCF_002732505.1"
"491","NZ_CP024970.1|provirus_340765_356575",15811,"No",NA,19,7,1,"Low-quality","Genome-fragment",29.03,"AAI-based","(high-confidence)",0,"1","CheckV/GCF_002803865.1_ASM280386v1","NZ_CP024970.1","CheckV/GCF_002803865.1"
"492","NZ_CP023567.1|provirus_1655623_1704747",49125,"Yes",46401,69,44,3,"High-quality","High-quality",100,"AAI-based","(high-confidence)",5.55,"1","CheckV/GCF_002952315.1_ASM295231v1","NZ_CP023567.1","CheckV/GCF_002952315.1"
"493","NZ_CP023567.1|provirus_1981186_2008850",27665,"No",NA,41,29,1,"Medium-quality","Genome-fragment",66.16,"AAI-based","(high-confidence)",0,"1.02","CheckV/GCF_002952315.1_ASM295231v1","NZ_CP023567.1","CheckV/GCF_002952315.1"
"494","NZ_CP023567.1|provirus_3909311_3923081",13771,"No",NA,19,3,0,"Low-quality","Genome-fragment",23.43,"HMM-based","(lower-bound)",0,"1","CheckV/GCF_002952315.1_ASM295231v1","NZ_CP023567.1","CheckV/GCF_002952315.1"
"495","NZ_PDET01000029.1",57786,"No",NA,77,52,0,"High-quality","High-quality",100,"AAI-based","(high-confidence)",0,"1","CheckV/GCF_002976475.1_ASM297647v1","NZ_PDET01000029.1","CheckV/GCF_002976475.1"
"496","NZ_PDET01000052.1",872,"No",NA,2,1,0,"Low-quality","Genome-fragment",2.38,"AAI-based","(high-confidence)",0,"1","CheckV/GCF_002976475.1_ASM297647v1","NZ_PDET01000052.1","CheckV/GCF_002976475.1"
"497","NZ_PDET01000014.1|provirus_40818_105685",64868,"Yes",57652,75,31,4,"High-quality","High-quality",100,"AAI-based","(medium-confidence)",11.12,"1","CheckV/GCF_002976475.1_ASM297647v1","NZ_PDET01000014.1","CheckV/GCF_002976475.1"
"498","NZ_PDET01000022.1|provirus_2_41933",41932,"No",NA,60,31,0,"High-quality","High-quality",90.9,"AAI-based","(high-confidence)",0,"1","CheckV/GCF_002976475.1_ASM297647v1","NZ_PDET01000022.1","CheckV/GCF_002976475.1"
"499","NZ_PDET01000036.1|provirus_2_11220",11219,"Yes",7847,11,8,2,"Low-quality","Genome-fragment",23.63,"AAI-based","(high-confidence)",30.06,"1","CheckV/GCF_002976475.1_ASM297647v1","NZ_PDET01000036.1","CheckV/GCF_002976475.1"
"500","NZ_PDET01000007.1|provirus_269312_292306",22995,"No",NA,30,25,0,"Medium-quality","Genome-fragment",69.91,"AAI-based","(high-confidence)",0,"1","CheckV/GCF_002976475.1_ASM297647v1","NZ_PDET01000007.1","CheckV/GCF_002976475.1"
"501","NZ_PDET01000009.1|provirus_2_9002",9001,"Yes",7807,9,7,1,"Low-quality","Genome-fragment",23.45,"AAI-based","(high-confidence)",13.27,"1","CheckV/GCF_002976475.1_ASM297647v1","NZ_PDET01000009.1","CheckV/GCF_002976475.1"
"502","NZ_LJAM02000120.1",6074,"No",NA,8,1,0,"Low-quality","Genome-fragment",17.82,"HMM-based","(lower-bound)",0,"1.0","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000120.1","CheckV/GCF_003058285.1"
"503","NZ_LJAM02000122.1",6047,"No",NA,9,4,0,"Low-quality","Genome-fragment",20.45,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000122.1","CheckV/GCF_003058285.1"
"504","NZ_LJAM02000128.1",5788,"No",NA,13,6,0,"Low-quality","Genome-fragment",14.99,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000128.1","CheckV/GCF_003058285.1"
"505","NZ_LJAM02000129.1",5712,"No",NA,10,7,0,"Low-quality","Genome-fragment",13.23,"AAI-based","(medium-confidence)",0,"1.0","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000129.1","CheckV/GCF_003058285.1"
"506","NZ_LJAM02000142.1",5472,"No",NA,12,2,1,"Low-quality","Genome-fragment",16.25,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000142.1","CheckV/GCF_003058285.1"
"507","NZ_LJAM02000143.1",5471,"No",NA,18,6,0,"Low-quality","Genome-fragment",15.52,"AAI-based","(medium-confidence)",0,"1.0","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000143.1","CheckV/GCF_003058285.1"
"508","NZ_LJAM02000145.1",5430,"No",NA,7,0,5,"Low-quality","Genome-fragment",2.7,"AAI-based","(medium-confidence)",0,"1.0","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000145.1","CheckV/GCF_003058285.1"
"509","NZ_LJAM02000151.1",5336,"No",NA,9,5,0,"Low-quality","Genome-fragment",17.35,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000151.1","CheckV/GCF_003058285.1"
"510","NZ_LJAM02000172.1",4805,"No",NA,7,4,0,"Low-quality","Genome-fragment",12.8,"AAI-based","(medium-confidence)",0,"1.0","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000172.1","CheckV/GCF_003058285.1"
"511","NZ_LJAM02000181.1",4647,"No",NA,3,0,1,"Low-quality","Genome-fragment",1.41,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000181.1","CheckV/GCF_003058285.1"
"512","NZ_LJAM02000189.1",4425,"Yes",1009,2,1,1,"Low-quality","Genome-fragment",1.94,"HMM-based","(lower-bound)",77.2,"1.01","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000189.1","CheckV/GCF_003058285.1"
"513","NZ_LJAM02000191.1",4367,"No",NA,4,1,0,"Low-quality","Genome-fragment",2.87,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000191.1","CheckV/GCF_003058285.1"
"514","NZ_LJAM02000204.1",4118,"No",NA,6,3,0,"Low-quality","Genome-fragment",9.34,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000204.1","CheckV/GCF_003058285.1"
"515","NZ_LJAM02000023.1",14974,"No",NA,24,14,0,"Low-quality","Genome-fragment",41.28,"AAI-based","(medium-confidence)",0,"1.0","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000023.1","CheckV/GCF_003058285.1"
"516","NZ_LJAM02000005.1",38863,"No",NA,46,32,0,"High-quality","High-quality",96.48,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000005.1","CheckV/GCF_003058285.1"
"517","NZ_LJAM02000234.1",3680,"No",NA,3,0,1,"Not-determined","Genome-fragment",NA,NA,"0.0",1,"no","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000234.1","CheckV/GCF_003058285.1"
"518","NZ_LJAM02000247.1",3379,"No",NA,7,2,0,"Low-quality","Genome-fragment",5.8,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000247.1","CheckV/GCF_003058285.1"
"519","NZ_LJAM02000249.1",3350,"No",NA,10,3,0,"Low-quality","Genome-fragment",6.33,"AAI-based","(medium-confidence)",0,"1.0","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000249.1","CheckV/GCF_003058285.1"
"520","NZ_LJAM02000256.1",3303,"No",NA,5,4,0,"Low-quality","Genome-fragment",8.19,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000256.1","CheckV/GCF_003058285.1"
"521","NZ_LJAM02000257.1",3284,"No",NA,3,3,0,"Low-quality","Genome-fragment",8.85,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000257.1","CheckV/GCF_003058285.1"
"522","NZ_LJAM02000274.1",3125,"Yes",1532,4,1,1,"Low-quality","Genome-fragment",4.53,"AAI-based","(high-confidence)",50.98,"1.0","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000274.1","CheckV/GCF_003058285.1"
"523","NZ_LJAM02000281.1",3065,"No",NA,7,4,0,"Low-quality","Genome-fragment",9.44,"AAI-based","(medium-confidence)",0,"1.0","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000281.1","CheckV/GCF_003058285.1"
"524","NZ_LJAM02000284.1",3010,"No",NA,5,3,0,"Low-quality","Genome-fragment",9.47,"AAI-based","(medium-confidence)",0,"1.0","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000284.1","CheckV/GCF_003058285.1"
"525","NZ_LJAM02000295.1",2943,"No",NA,3,0,1,"Low-quality","Genome-fragment",4.57,"AAI-based","(medium-confidence)",0,"1.0","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000295.1","CheckV/GCF_003058285.1"
"526","NZ_LJAM02000302.1",2862,"No",NA,4,4,0,"Low-quality","Genome-fragment",6.29,"AAI-based","(medium-confidence)",0,"1.0","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000302.1","CheckV/GCF_003058285.1"
"527","NZ_LJAM02000304.1",2836,"No",NA,4,1,0,"Low-quality","Genome-fragment",7.8,"AAI-based","(medium-confidence)",0,"1.0","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000304.1","CheckV/GCF_003058285.1"
"528","NZ_LJAM02000006.1",36351,"No",NA,55,35,0,"Medium-quality","Genome-fragment",89.65,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000006.1","CheckV/GCF_003058285.1"
"529","NZ_LJAM02000310.1",2804,"No",NA,7,3,0,"Low-quality","Genome-fragment",6.17,"HMM-based","(lower-bound)",0,"1.0","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000310.1","CheckV/GCF_003058285.1"
"530","NZ_LJAM02000035.1",12387,"No",NA,17,2,0,"Low-quality","Genome-fragment",32.62,"AAI-based","(medium-confidence)",0,"1.0","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000035.1","CheckV/GCF_003058285.1"
"531","NZ_LJAM02000331.1",2106,"No",NA,1,1,0,"Low-quality","Genome-fragment",7.09,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000331.1","CheckV/GCF_003058285.1"
"532","NZ_LJAM02000339.1",2566,"Yes",1313,6,1,2,"Low-quality","Genome-fragment",2.2,"AAI-based","(high-confidence)",48.83,"1.0","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000339.1","CheckV/GCF_003058285.1"
"533","NZ_LJAM02000359.1",2311,"No",NA,2,2,0,"Low-quality","Genome-fragment",7.06,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000359.1","CheckV/GCF_003058285.1"
"534","NZ_LJAM02000360.1",2305,"No",NA,3,0,1,"Low-quality","Genome-fragment",4.34,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000360.1","CheckV/GCF_003058285.1"
"535","NZ_LJAM02000370.1",2209,"No",NA,4,3,0,"Low-quality","Genome-fragment",4.36,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000370.1","CheckV/GCF_003058285.1"
"536","NZ_LJAM02000007.1",34852,"No",NA,53,38,0,"Medium-quality","Genome-fragment",85.6,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000007.1","CheckV/GCF_003058285.1"
"537","NZ_LJAM02000435.1",1819,"No",NA,5,1,0,"Low-quality","Genome-fragment",4.36,"HMM-based","(lower-bound)",0,"1.0","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000435.1","CheckV/GCF_003058285.1"
"538","NZ_LJAM02000444.1",1780,"No",NA,5,4,0,"Low-quality","Genome-fragment",3.82,"AAI-based","(medium-confidence)",0,"1.0","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000444.1","CheckV/GCF_003058285.1"
"539","NZ_LJAM02000469.1",1657,"No",NA,5,3,0,"Low-quality","Genome-fragment",1.9,"AAI-based","(medium-confidence)",0,"1.0","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000469.1","CheckV/GCF_003058285.1"
"540","NZ_LJAM02000477.1",1617,"No",NA,4,3,0,"Low-quality","Genome-fragment",5.04,"AAI-based","(medium-confidence)",0,"1.0","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000477.1","CheckV/GCF_003058285.1"
"541","NZ_LJAM02000490.1",1526,"No",NA,1,1,0,"Low-quality","Genome-fragment",5.11,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000490.1","CheckV/GCF_003058285.1"
"542","NZ_LJAM02000053.1",10375,"No",NA,16,10,0,"Low-quality","Genome-fragment",29.34,"AAI-based","(medium-confidence)",0,"1.0","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000053.1","CheckV/GCF_003058285.1"
"543","NZ_LJAM02000539.1",1291,"Yes",795,3,1,1,"Low-quality","Genome-fragment",2.53,"AAI-based","(high-confidence)",38.42,"1.0","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000539.1","CheckV/GCF_003058285.1"
"544","NZ_LJAM02000542.1",1279,"No",NA,2,1,0,"Low-quality","Genome-fragment",2.79,"AAI-based","(medium-confidence)",0,"1.0","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000542.1","CheckV/GCF_003058285.1"
"545","NZ_LJAM02000568.1",1157,"No",NA,3,2,0,"Low-quality","Genome-fragment",2.09,"HMM-based","(lower-bound)",0,"1.0","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000568.1","CheckV/GCF_003058285.1"
"546","NZ_LJAM02000570.1",1157,"No",NA,3,2,0,"Low-quality","Genome-fragment",2.98,"AAI-based","(medium-confidence)",0,"1.0","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000570.1","CheckV/GCF_003058285.1"
"547","NZ_LJAM02000592.1",1096,"No",NA,3,2,0,"Low-quality","Genome-fragment",3.44,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000592.1","CheckV/GCF_003058285.1"
"548","NZ_LJAM02000597.1",1074,"No",NA,2,2,0,"Low-quality","Genome-fragment",1.12,"HMM-based","(lower-bound)",0,"1.0","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000597.1","CheckV/GCF_003058285.1"
"549","NZ_LJAM02000064.1",8959,"Yes",5002,11,3,3,"Low-quality","Genome-fragment",13.96,"AAI-based","(high-confidence)",44.17,"1.0","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000064.1","CheckV/GCF_003058285.1"
"550","NZ_LJAM02000605.1",1046,"No",NA,2,2,0,"Low-quality","Genome-fragment",2.95,"AAI-based","(high-confidence)",0,"1.0","CheckV/GCF_003058285.1_ASM305828v2","NZ_LJAM02000605.1","CheckV/GCF_003058285.1"
