"","sys_id","type","subtype","activity","sys_beg","sys_end","protein_in_syst","genes_count","name_of_profiles_in_sys","Genome","Genome2"
"83","GCF_000590885.1_MSR-CA7.0_genomic_plasmid_proteins_RloC_3","RloC","RloC","Defense","NZ_JFHN01000065.1_50","NZ_JFHN01000065.1_50","NZ_JFHN01000065.1_50",1,"RloC__RloC","GCF_000590885.1","GCF_000590885.1"
"84","GCF_000590885.1_MSR-CA7.0_genomic_plasmid_proteins_SanaTA_4","SanaTA","SanaTA","Defense","NZ_JFHN01000065.1_51","NZ_JFHN01000065.1_52","NZ_JFHN01000065.1_51,NZ_JFHN01000065.1_52",2,"SanaTA__SanaA,SanaTA__SanaT_1","GCF_000590885.1","GCF_000590885.1"
"85","GCF_000590885.1_MSR-CA7.0_genomic_plasmid_proteins_Shango_5","Shango","Shango","Defense","NZ_JFHN01000065.1_53","NZ_JFHN01000065.1_55","NZ_JFHN01000065.1_53,NZ_JFHN01000065.1_54,NZ_JFHN01000065.1_55",3,"Shango__SngA,Shango__SngB,Shango__SngC","GCF_000590885.1","GCF_000590885.1"
"86","GCF_000590885.1_MSR-CA7.0_genomic_plasmid_proteins_ApsAB_1","ApsAB","ApsAB","Defense","NZ_JFHN01000065.1_56","NZ_JFHN01000065.1_57","NZ_JFHN01000065.1_56,NZ_JFHN01000065.1_57",2,"ApsAB__ApsA,ApsAB__ApsB","GCF_000590885.1","GCF_000590885.1"
"87","GCF_000696075.1_ASM69607v1_genomic_plasmid_proteins_Mok_Hok_Sok_1","Mok_Hok_Sok","Mok_Hok_Sok","Defense","NZ_BAYW01000023.1_31","NZ_BAYW01000023.1_31","NZ_BAYW01000023.1_31",1,"Mok_Hok_Sok__Hok","GCF_000696075.1","GCF_000696075.1"
"88","GCF_000770305.1_ASM77030v1_genomic_plasmid_proteins_DNA_met_RM_Type_II_PDDEXK_6","RM_Type_II","DNA_met_RM_Type_II_PDDEXK","Defense","NZ_JNVB01000106.1_1","NZ_JNVB01000106.1_2","NZ_JNVB01000106.1_1,NZ_JNVB01000106.1_2",2,"RM_Type_II__Type_II_MTases_FAM_2,RM_Type_II__Type_II_REase27","GCF_000770305.1","GCF_000770305.1"
"89","GCF_000770305.1_ASM77030v1_genomic_plasmid_proteins_PD-T7-1_3","PD-T7-1","PD-T7-1","Defense","NZ_JNVB01000135.1_2","NZ_JNVB01000135.1_2","NZ_JNVB01000135.1_2",1,"PD-T7-1__PD-T7-1","GCF_000770305.1","GCF_000770305.1"
"90","GCF_000770305.1_ASM77030v1_genomic_plasmid_proteins_RloC_4","RloC","RloC","Defense","NZ_JNVB01000062.1_5","NZ_JNVB01000062.1_5","NZ_JNVB01000062.1_5",1,"RloC__RloC","GCF_000770305.1","GCF_000770305.1"
"91","GCF_000770305.1_ASM77030v1_genomic_plasmid_proteins_DS-8_1","DS-8","DS-8","Defense","NZ_JNVB01000079.1_6","NZ_JNVB01000079.1_6","NZ_JNVB01000079.1_6",1,"DS-8__DS-8","GCF_000770305.1","GCF_000770305.1"
"92","GCF_000770305.1_ASM77030v1_genomic_plasmid_proteins_gcu24_5","gcu24","gcu24","Defense","NZ_JNVB01000096.1_3","NZ_JNVB01000096.1_3","NZ_JNVB01000096.1_3",1,"gcu24__gcu24","GCF_000770305.1","GCF_000770305.1"
"93","GCF_000770305.1_ASM77030v1_genomic_plasmid_proteins_PD-T4-5_2","PD-T4-5","PD-T4-5","Defense","NZ_JNVB01000098.1_7","NZ_JNVB01000098.1_7","NZ_JNVB01000098.1_7",1,"PD-T4-5__PD-T4-5","GCF_000770305.1","GCF_000770305.1"
"94","GCF_000773975.1_ASM77397v1_genomic_plasmid_proteins_Shango_10","Shango","Shango","Defense","NZ_JRUQ01000008.1_43","NZ_JRUQ01000008.1_45","NZ_JRUQ01000008.1_43,NZ_JRUQ01000008.1_44,NZ_JRUQ01000008.1_45",3,"Shango__SngA,Shango__SngB,Shango__SngC","GCF_000773975.1","GCF_000773975.1"
"95","GCF_000773975.1_ASM77397v1_genomic_plasmid_proteins_Other_Type_IV_9","Other_Type_IV","Other_Type_IV","Defense","NZ_JRUQ01000008.1_46","NZ_JRUQ01000008.1_46","NZ_JRUQ01000008.1_46",1,"RM_Type_IV__Type_IV_05","GCF_000773975.1","GCF_000773975.1"
"96","GCF_000773975.1_ASM77397v1_genomic_plasmid_proteins_RM_Type_IV_11","RM","RM_Type_IV","Defense","NZ_JRUQ01000008.1_46","NZ_JRUQ01000008.1_46","NZ_JRUQ01000008.1_46",1,"RM_Type_IV__Type_IV_05","GCF_000773975.1","GCF_000773975.1"
"97","GCF_000773975.1_ASM77397v1_genomic_plasmid_proteins_Other_Type_IV_9","Other_Type_IV","Other_Type_IV","Defense","NZ_JRUQ01000008.1_46","NZ_JRUQ01000008.1_46","NZ_JRUQ01000008.1_46",1,"RM_Type_IV__Type_IV_05","GCF_000773975.1","GCF_000773975.1"
"98","GCF_000773975.1_ASM77397v1_genomic_plasmid_proteins_RM_Type_IV_11","RM","RM_Type_IV","Defense","NZ_JRUQ01000008.1_46","NZ_JRUQ01000008.1_46","NZ_JRUQ01000008.1_46",1,"RM_Type_IV__Type_IV_05","GCF_000773975.1","GCF_000773975.1"
"99","GCF_000773975.1_ASM77397v1_genomic_plasmid_proteins_CBASS_II_Cap4_1","CBASS","CBASS_II_Cap4","Defense","NZ_JRUQ01000008.1_49","NZ_JRUQ01000008.1_52","NZ_JRUQ01000008.1_49,NZ_JRUQ01000008.1_50,NZ_JRUQ01000008.1_51,NZ_JRUQ01000008.1_52",4,"CBASS__AG_E1_ThiF,CBASS__Cyclase_II,CBASS__Jab,CBASS__SAVED_Cap4","GCF_000773975.1","GCF_000773975.1"
"100","GCF_001050515.1_ASM105051v1_genomic_plasmid_proteins_RM_Type_I_4","RM","RM_Type_I","Defense","NZ_CAHS01000006.1_5","NZ_CAHS01000006.1_7","NZ_CAHS01000006.1_5,NZ_CAHS01000006.1_6,NZ_CAHS01000006.1_7",3,"RM__Type_I_MTases_FAM_0,RM__Type_I_REases_FAM_0.einsi_trimmed,RM__Type_I_S_51","GCF_001050515.1","GCF_001050515.1"
"101","GCF_001050515.1_ASM105051v1_genomic_plasmid_proteins_MazEF_1","MazEF","MazEF","Defense","NZ_CAHS01000006.1_18","NZ_CAHS01000006.1_19","NZ_CAHS01000006.1_18,NZ_CAHS01000006.1_19",2,"MazEF__MazE,MazEF__MazF","GCF_001050515.1","GCF_001050515.1"
"102","GCF_001050515.1_ASM105051v1_genomic_plasmid_proteins_RM_Type_III_5","RM","RM_Type_III","Defense","NZ_CAHS01000006.1_22","NZ_CAHS01000006.1_24","NZ_CAHS01000006.1_22,NZ_CAHS01000006.1_24",2,"RM_Type_III__Type_III_MTases_FAM_0,RM_Type_III__Type_III_REases_FAM_0.einsi_trimmed","GCF_001050515.1","GCF_001050515.1"
"103","GCF_001422605.1_Leaf53_genomic_plasmid_proteins_Retron_I_A_4","Retron","Retron_I_A","Defense","NZ_LMLK01000022.1_43","NZ_LMLK01000022.1_45","NZ_LMLK01000022.1_43,NZ_LMLK01000022.1_44,NZ_LMLK01000022.1_45",3,"Retron_I_A__ATPase_TypeIA,Retron_I_A__HNH_TIGR02646,Retron__RT_Tot_1","GCF_001422605.1","GCF_001422605.1"
"104","GCF_001422605.1_Leaf53_genomic_plasmid_proteins_Mok_Hok_Sok_1","Mok_Hok_Sok","Mok_Hok_Sok","Defense","NZ_LMLK01000022.1_81","NZ_LMLK01000022.1_81","NZ_LMLK01000022.1_81",1,"Mok_Hok_Sok__Hok","GCF_001422605.1","GCF_001422605.1"
"105","GCF_001422605.1_Leaf53_genomic_plasmid_proteins_PD-T4-5_3","PD-T4-5","PD-T4-5","Defense","NZ_LMLK01000022.1_91","NZ_LMLK01000022.1_91","NZ_LMLK01000022.1_91",1,"PD-T4-5__PD-T4-5","GCF_001422605.1","GCF_001422605.1"
"106","GCF_001422605.1_Leaf53_genomic_plasmid_proteins_Mok_Hok_Sok_2","Mok_Hok_Sok","Mok_Hok_Sok","Defense","NZ_LMLK01000022.1_406","NZ_LMLK01000022.1_406","NZ_LMLK01000022.1_406",1,"Mok_Hok_Sok__Hok","GCF_001422605.1","GCF_001422605.1"
"107","GCF_001571305.1_ASM157130v1_genomic_plasmid_proteins_TIR-III_2","TIR-III","TIR-III","Defense","NZ_BCTN01000038.1_12","NZ_BCTN01000038.1_13","NZ_BCTN01000038.1_12,NZ_BCTN01000038.1_13",2,"TIR-III__TIR-III_A,TIR-III__TIR-III_B","GCF_001571305.1","GCF_001571305.1"
"108","GCF_001571305.1_ASM157130v1_genomic_plasmid_proteins_Pif_1","Pif","Pif","Defense","NZ_BCTN01000038.1_14","NZ_BCTN01000038.1_15","NZ_BCTN01000038.1_14,NZ_BCTN01000038.1_15",2,"Pif__PifA,Pif__PifC","GCF_001571305.1","GCF_001571305.1"
"109","GCF_001756855.1_ASM175685v1_genomic_plasmid_proteins_MazEF_1","MazEF","MazEF","Defense","NZ_MAYS01000216.1_4","NZ_MAYS01000216.1_5","NZ_MAYS01000216.1_4,NZ_MAYS01000216.1_5",2,"MazEF__MazE,MazEF__MazF","GCF_001756855.1","GCF_001756855.1"
"110","GCF_001756855.1_ASM175685v1_genomic_plasmid_proteins_DNA_met_RM_Type_II_PDDEXK_2","RM_Type_II","DNA_met_RM_Type_II_PDDEXK","Defense","NZ_MAYS01000579.1_3","NZ_MAYS01000579.1_4","NZ_MAYS01000579.1_3,NZ_MAYS01000579.1_4",2,"RM_Type_II__Type_II_MTases_FAM_2,RM_Type_II__Type_II_REase09","GCF_001756855.1","GCF_001756855.1"
"111","GCF_002732335.1_ASM273233v1_genomic_plasmid_proteins_McrBC_2","McrBC","McrBC","Defense","NZ_NQKC01000016.1_4","NZ_NQKC01000016.1_5","NZ_NQKC01000016.1_4,NZ_NQKC01000016.1_5",2,"RM_Type_IV__FAM_1,RM_Type_IV__Type_IV_01","GCF_002732335.1","GCF_002732335.1"
"112","GCF_002732335.1_ASM273233v1_genomic_plasmid_proteins_PD-T4-5_1","PD-T4-5","PD-T4-5","Defense","NZ_NQKC01000047.1_2","NZ_NQKC01000047.1_2","NZ_NQKC01000047.1_2",1,"PD-T4-5__PD-T4-5","GCF_002732335.1","GCF_002732335.1"
"113","GCF_002865965.1_ASM286596v1_genomic_plasmid_proteins_Retron_I_A_4","Retron","Retron_I_A","Defense","NZ_JRZZ01000001.1_64","NZ_JRZZ01000001.1_66","NZ_JRZZ01000001.1_64,NZ_JRZZ01000001.1_65,NZ_JRZZ01000001.1_66",3,"Retron_I_A__ATPase_TypeIA,Retron_I_A__HNH_TIGR02646,Retron__RT_Tot_1","GCF_002865965.1","GCF_002865965.1"
"114","GCF_002865965.1_ASM286596v1_genomic_plasmid_proteins_PD-T4-5_3","PD-T4-5","PD-T4-5","Defense","NZ_JRZZ01000001.1_113","NZ_JRZZ01000001.1_113","NZ_JRZZ01000001.1_113",1,"PD-T4-5__PD-T4-5","GCF_002865965.1","GCF_002865965.1"
"115","GCF_002865965.1_ASM286596v1_genomic_plasmid_proteins_DS-1_1","DS-1","DS-1","Defense","NZ_JRZZ01000034.1_37","NZ_JRZZ01000034.1_38","NZ_JRZZ01000034.1_37,NZ_JRZZ01000034.1_38",2,"DS-1__DS-1A,DS-1__DS-1B","GCF_002865965.1","GCF_002865965.1"
"116","GCF_002865965.1_ASM286596v1_genomic_plasmid_proteins_DS-12B_2","DS-12B","DS-12B","Defense","NZ_JRZZ01000062.1_10","NZ_JRZZ01000062.1_10","NZ_JRZZ01000062.1_10",1,"DS-12__DS-12B","GCF_002865965.1","GCF_002865965.1"
"117","GCF_002976475.1_ASM297647v1_genomic_plasmid_proteins_Other_Type_IV_1","Other_Type_IV","Other_Type_IV","Defense","NZ_PDET01000011.1_62","NZ_PDET01000011.1_62","NZ_PDET01000011.1_62",1,"RM_Type_IV__Type_IV_03","GCF_002976475.1","GCF_002976475.1"
"118","GCF_002976475.1_ASM297647v1_genomic_plasmid_proteins_Other_Type_IV_1","Other_Type_IV","Other_Type_IV","Defense","NZ_PDET01000011.1_62","NZ_PDET01000011.1_62","NZ_PDET01000011.1_62",1,"RM_Type_IV__Type_IV_03","GCF_002976475.1","GCF_002976475.1"
"119","GCF_002976475.1_ASM297647v1_genomic_plasmid_proteins_RM_Type_IV_2","RM","RM_Type_IV","Defense","NZ_PDET01000011.1_62","NZ_PDET01000011.1_62","NZ_PDET01000011.1_62",1,"RM_Type_IV__Type_IV_03","GCF_002976475.1","GCF_002976475.1"
"120","GCF_002976475.1_ASM297647v1_genomic_plasmid_proteins_RM_Type_IV_2","RM","RM_Type_IV","Defense","NZ_PDET01000011.1_62","NZ_PDET01000011.1_62","NZ_PDET01000011.1_62",1,"RM_Type_IV__Type_IV_03","GCF_002976475.1","GCF_002976475.1"
"121","GCF_003058285.1_ASM305828v2_genomic_plasmid_proteins_AbiU_1","AbiU","AbiU","Defense","NZ_LJAM02000048.1_1","NZ_LJAM02000048.1_1","NZ_LJAM02000048.1_1",1,"AbiU__AbiU","GCF_003058285.1","GCF_003058285.1"
"122","GCF_003485445.1_ASM348544v1_genomic_plasmid_proteins_AbiD_1","AbiD","AbiD","Defense","NZ_CP022726.1_31","NZ_CP022726.1_31","NZ_CP022726.1_31",1,"AbiD__AbiD","GCF_003485445.1","GCF_003485445.1"
"123","GCF_003568535.1_Cucumis_polished_assembly.fasta_genomic_plasmid_proteins_Thoeris_V_1","Thoeris","Thoeris_V","Defense","NZ_CP013971.1_58","NZ_CP013971.1_62","NZ_CP013971.1_58,NZ_CP013971.1_62",2,"Thoeris__ThsB_6,Thoeris__ThsF_DUF2270","GCF_003568535.1","GCF_003568535.1"
"124","GCF_003751505.1_ASM375150v1_genomic_plasmid_proteins_AbiE_1","AbiE","AbiE","Defense","NZ_RJVB01000004.1_234","NZ_RJVB01000004.1_235","NZ_RJVB01000004.1_234,NZ_RJVB01000004.1_235",2,"AbiEii__AbiEi_3,AbiEii__AbiEii","GCF_003751505.1","GCF_003751505.1"
"125","GCF_003846135.1_ASM384613v1_genomic_plasmid_proteins_RM_Type_II_2","RM","RM_Type_II","Defense","NZ_RHHM01000024.1_42","NZ_RHHM01000024.1_43","NZ_RHHM01000024.1_42,NZ_RHHM01000024.1_43",2,"RM_Type_II__Type_II_MTases_FAM_2,RM_Type_II__Type_II_REase15","GCF_003846135.1","GCF_003846135.1"
"126","GCF_003992295.1_ASM399229v1_genomic_plasmid_proteins_PD-T7-5_1","PD-T7-5","PD-T7-5","Defense","NZ_MCFB01000005.1_29","NZ_MCFB01000005.1_29","NZ_MCFB01000005.1_29",1,"PD-T7-5__PD-T7-5","GCF_003992295.1","GCF_003992295.1"
"127","GCF_004022165.1_ASM402216v1_genomic_plasmid_proteins_HEC-05_2","HEC-05","HEC-05","Defense","NZ_JMEE01000015.1_4","NZ_JMEE01000015.1_4","NZ_JMEE01000015.1_4",1,"HEC-05__HEC-05","GCF_004022165.1","GCF_004022165.1"
"128","GCF_004022165.1_ASM402216v1_genomic_plasmid_proteins_Druantia_II_1","Druantia","Druantia_II","Defense","NZ_JMEE01000015.1_8","NZ_JMEE01000015.1_11","NZ_JMEE01000015.1_8,NZ_JMEE01000015.1_9,NZ_JMEE01000015.1_10,NZ_JMEE01000015.1_11",4,"Druantia_II__DruF,Druantia_II__DruG,Druantia_II__DruM,Druantia__DruE_2","GCF_004022165.1","GCF_004022165.1"
"129","GCF_004023365.1_ASM402336v1_genomic_plasmid_proteins_Mok_Hok_Sok_1","Mok_Hok_Sok","Mok_Hok_Sok","Defense","NZ_RQKG01000018.1_13","NZ_RQKG01000018.1_13","NZ_RQKG01000018.1_13",1,"Mok_Hok_Sok__Hok","GCF_004023365.1","GCF_004023365.1"
"130","GCF_004364855.1_ASM436485v1_genomic_plasmid_proteins_Avs8_3","Avs","Avs8","Defense","NZ_SOAQ01000003.1_133","NZ_SOAQ01000003.1_133","NZ_SOAQ01000003.1_133",1,"Avs8__Avs8","GCF_004364855.1","GCF_004364855.1"
"131","GCF_004364855.1_ASM436485v1_genomic_plasmid_proteins_SNIPE_9","SNIPE","SNIPE","Defense","NZ_SOAQ01000003.1_193","NZ_SOAQ01000003.1_193","NZ_SOAQ01000003.1_193",1,"PD-Lambda-1__PD-Lambda-1","GCF_004364855.1","GCF_004364855.1"
"132","GCF_004364855.1_ASM436485v1_genomic_plasmid_proteins_Avs3_1","Avs","Avs3","Defense","NZ_SOAQ01000003.1_329","NZ_SOAQ01000003.1_329","NZ_SOAQ01000003.1_329",1,"Avs3__Avs3","GCF_004364855.1","GCF_004364855.1"
"133","GCF_004364855.1_ASM436485v1_genomic_plasmid_proteins_Rugutis_8","Rugutis","Rugutis","Defense","NZ_SOAQ01000003.1_331","NZ_SOAQ01000003.1_331","NZ_SOAQ01000003.1_331",1,"Rugutis__Rugutis","GCF_004364855.1","GCF_004364855.1"
"134","GCF_004364855.1_ASM436485v1_genomic_plasmid_proteins_Septu_10","Septu","Septu","Defense","NZ_SOAQ01000003.1_333","NZ_SOAQ01000003.1_334","NZ_SOAQ01000003.1_333,NZ_SOAQ01000003.1_334",2,"Septu__PtuA,Septu__PtuB_2","GCF_004364855.1","GCF_004364855.1"
"135","GCF_004364855.1_ASM436485v1_genomic_plasmid_proteins_Avs7_2","Avs","Avs7","Defense","NZ_SOAQ01000003.1_337","NZ_SOAQ01000003.1_337","NZ_SOAQ01000003.1_337",1,"Avs7__Avs7","GCF_004364855.1","GCF_004364855.1"
"136","GCF_004364855.1_ASM436485v1_genomic_plasmid_proteins_Gabija_4","Gabija","Gabija","Defense","NZ_SOAQ01000003.1_401","NZ_SOAQ01000003.1_402","NZ_SOAQ01000003.1_401,NZ_SOAQ01000003.1_402",2,"Gabija__GajA,Gabija__GajB_1","GCF_004364855.1","GCF_004364855.1"
"137","GCF_004364855.1_ASM436485v1_genomic_plasmid_proteins_Gao_Tmn_5","Gao_Tmn","Gao_Tmn","Defense","NZ_SOAQ01000014.1_8","NZ_SOAQ01000014.1_8","NZ_SOAQ01000014.1_8",1,"Gao_Tmn__TmnA","GCF_004364855.1","GCF_004364855.1"
"138","GCF_004364855.1_ASM436485v1_genomic_plasmid_proteins_PfiAT_7","PfiAT","PfiAT","Defense","NZ_SOAQ01000014.1_73","NZ_SOAQ01000014.1_74","NZ_SOAQ01000014.1_73,NZ_SOAQ01000014.1_74",2,"PfiAT__PfiA,PfiAT__PfiT","GCF_004364855.1","GCF_004364855.1"
"139","GCF_004551645.1_ASM455164v1_genomic_plasmid_proteins_MazEF_2","MazEF","MazEF","Defense","NZ_CP037949.1_33","NZ_CP037949.1_34","NZ_CP037949.1_33,NZ_CP037949.1_34",2,"MazEF__MazE,MazEF__MazF","GCF_004551645.1","GCF_004551645.1"
"140","GCF_004551645.1_ASM455164v1_genomic_plasmid_proteins_RloC_3","RloC","RloC","Defense","NZ_CP037949.1_45","NZ_CP037949.1_45","NZ_CP037949.1_45",1,"RloC__RloC","GCF_004551645.1","GCF_004551645.1"
"141","GCF_004551645.1_ASM455164v1_genomic_plasmid_proteins_HEC-09_1","HEC-09","HEC-09","Defense","NZ_CP037949.1_95","NZ_CP037949.1_95","NZ_CP037949.1_95",1,"HEC-09__HEC-09","GCF_004551645.1","GCF_004551645.1"
"142","GCF_005233475.1_ASM523347v1_genomic_plasmid_proteins_Shango_4","Shango","Shango","Defense","NZ_QGAC01000046.1_7","NZ_QGAC01000046.1_9","NZ_QGAC01000046.1_7,NZ_QGAC01000046.1_8,NZ_QGAC01000046.1_9",3,"Shango__SngA,Shango__SngB,Shango__SngC","GCF_005233475.1","GCF_005233475.1"
"143","GCF_005233475.1_ASM523347v1_genomic_plasmid_proteins_VcaM4I_5","VcaM4I","VcaM4I","Defense","NZ_QGAC01000025.1_6","NZ_QGAC01000025.1_6","NZ_QGAC01000025.1_6",1,"VcaM4I__VcaM4I","GCF_005233475.1","GCF_005233475.1"
"144","GCF_005233475.1_ASM523347v1_genomic_plasmid_proteins_Other_Type_IV_3","Other_Type_IV","Other_Type_IV","Defense","NZ_QGAC01000032.1_8","NZ_QGAC01000032.1_8","NZ_QGAC01000032.1_8",1,"RM_Type_IV__Type_IV_03","GCF_005233475.1","GCF_005233475.1"
"145","GCF_005233475.1_ASM523347v1_genomic_plasmid_proteins_Other_Type_IV_3","Other_Type_IV","Other_Type_IV","Defense","NZ_QGAC01000032.1_8","NZ_QGAC01000032.1_8","NZ_QGAC01000032.1_8",1,"RM_Type_IV__Type_IV_03","GCF_005233475.1","GCF_005233475.1"
"146","GCF_005233475.1_ASM523347v1_genomic_plasmid_proteins_RM_Type_IV_6","RM","RM_Type_IV","Defense","NZ_QGAC01000032.1_8","NZ_QGAC01000032.1_8","NZ_QGAC01000032.1_8",1,"RM_Type_IV__Type_IV_03","GCF_005233475.1","GCF_005233475.1"
"147","GCF_005233475.1_ASM523347v1_genomic_plasmid_proteins_RM_Type_IV_6","RM","RM_Type_IV","Defense","NZ_QGAC01000032.1_8","NZ_QGAC01000032.1_8","NZ_QGAC01000032.1_8",1,"RM_Type_IV__Type_IV_03","GCF_005233475.1","GCF_005233475.1"
"148","GCF_005233475.1_ASM523347v1_genomic_plasmid_proteins_CBASS_III_TIR_1","CBASS","CBASS_III_TIR","Defense","NZ_QGAC01000010.1_4","NZ_QGAC01000010.1_7","NZ_QGAC01000010.1_4,NZ_QGAC01000010.1_5,NZ_QGAC01000010.1_6,NZ_QGAC01000010.1_7",4,"CBASS__Cyclase_II,CBASS__TPALS_TIR,CBASS__TRIP13,CBASS__bacHORMA_1","GCF_005233475.1","GCF_005233475.1"
"149","GCF_008728215.1_ASM872821v1_genomic_plasmid_proteins_RloC_1","RloC","RloC","Defense","NZ_CP031696.1_3","NZ_CP031696.1_3","NZ_CP031696.1_3",1,"RloC__RloC","GCF_008728215.1","GCF_008728215.1"
"150","GCF_009295515.1_ASM929551v1_genomic_plasmid_proteins_N6_RM_Type_I_1","RM_Type_I","N6_RM_Type_I","Defense","NZ_RQVV01000027.1_5","NZ_RQVV01000027.1_8","NZ_RQVV01000027.1_5,NZ_RQVV01000027.1_7,NZ_RQVV01000027.1_8",3,"PrrC__EcoprrI,RM__Type_I_REases_FAM_0.einsi_trimmed,RM__Type_I_S_01","GCF_009295515.1","GCF_009295515.1"
"151","GCF_009295515.1_ASM929551v1_genomic_plasmid_proteins_PrrC_2","PrrC","PrrC","Defense","NZ_RQVV01000027.1_6","NZ_RQVV01000027.1_6","NZ_RQVV01000027.1_6",1,"PrrC__PrrC","GCF_009295515.1","GCF_009295515.1"
"152","GCF_009846845.1_ASM984684v1_genomic_plasmid_proteins_PfiAT_1","PfiAT","PfiAT","Defense","NZ_WUUO01000016.1_47","NZ_WUUO01000016.1_48","NZ_WUUO01000016.1_47,NZ_WUUO01000016.1_48",2,"PfiAT__PfiA,PfiAT__PfiT","GCF_009846845.1","GCF_009846845.1"
"153","GCF_012271765.1_ASM1227176v1_genomic_plasmid_proteins_PfiAT_1","PfiAT","PfiAT","Defense","NZ_VRKO01000007.1_75","NZ_VRKO01000007.1_76","NZ_VRKO01000007.1_75,NZ_VRKO01000007.1_76",2,"PfiAT__PfiA,PfiAT__PfiT","GCF_012271765.1","GCF_012271765.1"
"154","GCF_012366965.1_ASM1236696v1_genomic_plasmid_proteins_Mok_Hok_Sok_1","Mok_Hok_Sok","Mok_Hok_Sok","Defense","NZ_JAAEUK010000031.1_13","NZ_JAAEUK010000031.1_13","NZ_JAAEUK010000031.1_13",1,"Mok_Hok_Sok__Hok","GCF_012366965.1","GCF_012366965.1"
"155","GCF_012366985.1_ASM1236698v1_genomic_plasmid_proteins_Mok_Hok_Sok_1","Mok_Hok_Sok","Mok_Hok_Sok","Defense","NZ_JAAEUN010000015.1_13","NZ_JAAEUN010000015.1_13","NZ_JAAEUN010000015.1_13",1,"Mok_Hok_Sok__Hok","GCF_012366985.1","GCF_012366985.1"
"156","GCF_012367015.1_ASM1236701v1_genomic_plasmid_proteins_Mok_Hok_Sok_2","Mok_Hok_Sok","Mok_Hok_Sok","Defense","NZ_JAAEUQ010000010.1_34","NZ_JAAEUQ010000010.1_34","NZ_JAAEUQ010000010.1_34",1,"Mok_Hok_Sok__Hok","GCF_012367015.1","GCF_012367015.1"
"157","GCF_012367015.1_ASM1236701v1_genomic_plasmid_proteins_RM_Type_II_6","RM","RM_Type_II","Defense","NZ_JAAEUQ010000031.1_60","NZ_JAAEUQ010000031.1_61","NZ_JAAEUQ010000031.1_60,NZ_JAAEUQ010000031.1_61",2,"RM_Type_II__Type_II_MTases_FAM_2,RM_Type_II__Type_II_REase27","GCF_012367015.1","GCF_012367015.1"
"158","GCF_012367015.1_ASM1236701v1_genomic_plasmid_proteins_Divona_1","Divona","Divona","Defense","NZ_JAAEUQ010000031.1_69","NZ_JAAEUQ010000031.1_69","NZ_JAAEUQ010000031.1_69",1,"Divona__VCA0374","GCF_012367015.1","GCF_012367015.1"
"159","GCF_012367015.1_ASM1236701v1_genomic_plasmid_proteins_Retron_IV_3","Retron","Retron_IV","Defense","NZ_JAAEUQ010000038.1_21","NZ_JAAEUQ010000038.1_22","NZ_JAAEUQ010000038.1_21,NZ_JAAEUQ010000038.1_22",2,"Retron_IV__2TM,Retron__RT_Tot_8","GCF_012367015.1","GCF_012367015.1"
"160","GCF_012367015.1_ASM1236701v1_genomic_plasmid_proteins_RM_Type_II_7","RM","RM_Type_II","Defense","NZ_JAAEUQ010000053.1_2","NZ_JAAEUQ010000053.1_3","NZ_JAAEUQ010000053.1_2,NZ_JAAEUQ010000053.1_3",2,"RM_Type_II__Type_II_MTases_FAM_2,RM_Type_II__Type_II_REase28","GCF_012367015.1","GCF_012367015.1"
"161","GCF_012367055.1_ASM1236705v1_genomic_plasmid_proteins_Mok_Hok_Sok_1","Mok_Hok_Sok","Mok_Hok_Sok","Defense","NZ_JAAEUS010000023.1_32","NZ_JAAEUS010000023.1_32","NZ_JAAEUS010000023.1_32",1,"Mok_Hok_Sok__Hok","GCF_012367055.1","GCF_012367055.1"
"162","GCF_012367055.1_ASM1236705v1_genomic_plasmid_proteins_Retron_VI_2","Retron","Retron_VI","Defense","NZ_JAAEUS010000034.1_68","NZ_JAAEUS010000034.1_69","NZ_JAAEUS010000034.1_68,NZ_JAAEUS010000034.1_69",2,"Retron_VI__HTH,Retron__RT_Tot_10","GCF_012367055.1","GCF_012367055.1"
"163","GCF_012367075.1_ASM1236707v1_genomic_plasmid_proteins_MazEF_1","MazEF","MazEF","Defense","NZ_JAAEUV010000003.1_58","NZ_JAAEUV010000003.1_59","NZ_JAAEUV010000003.1_58,NZ_JAAEUV010000003.1_59",2,"MazEF__MazE,MazEF__MazF","GCF_012367075.1","GCF_012367075.1"
"164","GCF_012367075.1_ASM1236707v1_genomic_plasmid_proteins_CAS_Class1-Subtype-I-E_3","Cas","CAS_Class1-Subtype-I-E","Defense","NZ_JAAEUV010000114.1_4","NZ_JAAEUV010000114.1_12","NZ_JAAEUV010000114.1_4,NZ_JAAEUV010000114.1_5,NZ_JAAEUV010000114.1_6,NZ_JAAEUV010000114.1_7,NZ_JAAEUV010000114.1_8,NZ_JAAEUV010000114.1_10,NZ_JAAEUV010000114.1_11,NZ_JAAEUV010000114.1_12",8,"cas1_I-E_1,cas2_I-E_2,cas3_I_2,cas5_I-E_3,cas6e_I_II_III_IV_V_VI_1,cas7_I-E_2,cas8e_I-E_1,cse2gr11_I-E_1","GCF_012367075.1","GCF_012367075.1"
