"","seq_name","length","topology","coordinates","n_genes","genetic_code","virus_score","fdr","n_hallmarks","marker_enrichment","taxonomy","Genome"
"325","NC_017445.1|provirus_2872688_2920967",48280,"Provirus","2872688-2920967","67",11,0.9994,NA,10,72.3981,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000165815.1_ASM16581v1_genomic_summary/GCF_000165815.1_ASM16581v1_genomic_virus_summary.tsv"
"326","NC_014306.1|provirus_1248024_1279246",31223,"Provirus","1248024-1279246","40",11,0.9997,NA,24,47.7742,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000196615.1_ASM19661v1_genomic_summary/GCF_000196615.1_ASM19661v1_genomic_virus_summary.tsv"
"327","NC_014306.1|provirus_106494_140655",34162,"Provirus","106494-140655","46",11,0.9995,NA,16,44.5598,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000196615.1_ASM19661v1_genomic_summary/GCF_000196615.1_ASM19661v1_genomic_virus_summary.tsv"
"328","NC_014306.1|provirus_3530978_3586705",55728,"Provirus","3530978-3586705","85",11,0.9994,NA,13,66.9945,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000196615.1_ASM19661v1_genomic_summary/GCF_000196615.1_ASM19661v1_genomic_virus_summary.tsv"
"329","NZ_AFHN01000020.1|provirus_300202_316012",15811,"Provirus","300202-316012","19",11,0.9914,NA,4,10.6519,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000240705.2_ASM24070v2_genomic_summary/GCF_000240705.2_ASM24070v2_genomic_virus_summary.tsv"
"330","NZ_CAOX01000013.1|provirus_216658_232468",15811,"Provirus","216658-232468","19",11,0.9914,NA,4,10.6519,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000367545.1_ASM36754v2_genomic_summary/GCF_000367545.1_ASM36754v2_genomic_virus_summary.tsv"
"331","NZ_CAOY01000034.1|provirus_247861_261702",13842,"Provirus","247861-261702","16",11,0.9919,NA,4,7.2154,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000367565.1_ASM36756v2_genomic_summary/GCF_000367565.1_ASM36756v2_genomic_virus_summary.tsv"
"332","NZ_CAOZ01000011.1|provirus_56820_72627",15808,"Provirus","56820-72627","19",11,0.9917,NA,4,10.6519,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000367585.1_ASM36758v2_genomic_summary/GCF_000367585.1_ASM36758v2_genomic_virus_summary.tsv"
"333","NZ_CAPA01000009.1|provirus_601027_616837",15811,"Provirus","601027-616837","19",11,0.9914,NA,4,10.6519,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000367605.1_ASM36760v2_genomic_summary/GCF_000367605.1_ASM36760v2_genomic_virus_summary.tsv"
"334","NZ_CAPB01000039.1|provirus_245727_261537",15811,"Provirus","245727-261537","19",11,0.9914,NA,4,10.6519,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000367625.1_ASM36762v2_genomic_summary/GCF_000367625.1_ASM36762v2_genomic_virus_summary.tsv"
"335","NZ_CAPC01000016.1|provirus_476248_492058",15811,"Provirus","476248-492058","19",11,0.9914,NA,4,10.6519,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000367645.1_ASM36764v1_genomic_summary/GCF_000367645.1_ASM36764v1_genomic_virus_summary.tsv"
"336","NZ_KE136329.1",9702,"No","terminal","repeats",NA,6,4,0.9997,NA,"3","GCF_000404125.1_Version_1_Erwinia_tracheiphila_PSU-1_genomic_summary/GCF_000404125.1_Version_1_Erwinia_tracheiphila_PSU-1_genomic_virus_summary.tsv"
"337","NZ_KE136311.1|provirus_40791_88205",47415,"Provirus","40791-88205","74",11,0.9997,NA,12,82.4048,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000404125.1_Version_1_Erwinia_tracheiphila_PSU-1_genomic_summary/GCF_000404125.1_Version_1_Erwinia_tracheiphila_PSU-1_genomic_virus_summary.tsv"
"338","NZ_KE136318.1|provirus_36428_69451",33024,"Provirus","36428-69451","47",11,0.9994,NA,16,47.8104,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000404125.1_Version_1_Erwinia_tracheiphila_PSU-1_genomic_summary/GCF_000404125.1_Version_1_Erwinia_tracheiphila_PSU-1_genomic_virus_summary.tsv"
"339","NZ_KE136312.1|provirus_195422_222330",26909,"Provirus","195422-222330","40",11,0.9994,NA,19,42.9108,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000404125.1_Version_1_Erwinia_tracheiphila_PSU-1_genomic_summary/GCF_000404125.1_Version_1_Erwinia_tracheiphila_PSU-1_genomic_virus_summary.tsv"
"340","NZ_KE136312.1|provirus_129332_164439",35108,"Provirus","129332-164439","50",11,0.9992,NA,20,53.2198,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000404125.1_Version_1_Erwinia_tracheiphila_PSU-1_genomic_summary/GCF_000404125.1_Version_1_Erwinia_tracheiphila_PSU-1_genomic_virus_summary.tsv"
"341","NZ_KE136326.1",22958,"No","terminal","repeats",NA,24,11,0.9992,NA,"12","GCF_000404125.1_Version_1_Erwinia_tracheiphila_PSU-1_genomic_summary/GCF_000404125.1_Version_1_Erwinia_tracheiphila_PSU-1_genomic_virus_summary.tsv"
"342","NZ_KE136314.1|provirus_78104_115915",37812,"Provirus","78104-115915","35",11,0.999,NA,6,34.6895,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000404125.1_Version_1_Erwinia_tracheiphila_PSU-1_genomic_summary/GCF_000404125.1_Version_1_Erwinia_tracheiphila_PSU-1_genomic_virus_summary.tsv"
"343","NZ_KE136330.1",4006,"No","terminal","repeats",NA,10,11,0.9984,NA,"0","GCF_000404125.1_Version_1_Erwinia_tracheiphila_PSU-1_genomic_summary/GCF_000404125.1_Version_1_Erwinia_tracheiphila_PSU-1_genomic_virus_summary.tsv"
"344","NZ_KE136320.1|provirus_39336_84843",45508,"Provirus","39336-84843","58",11,0.9973,NA,5,35.5123,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000404125.1_Version_1_Erwinia_tracheiphila_PSU-1_genomic_summary/GCF_000404125.1_Version_1_Erwinia_tracheiphila_PSU-1_genomic_virus_summary.tsv"
"345","NZ_KE136315.1|provirus_28822_42708",13887,"Provirus","28822-42708","17",11,0.9969,NA,6,11.7503,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000404125.1_Version_1_Erwinia_tracheiphila_PSU-1_genomic_summary/GCF_000404125.1_Version_1_Erwinia_tracheiphila_PSU-1_genomic_virus_summary.tsv"
"346","NZ_KE136313.1|provirus_1_10078",10078,"Provirus","1-10078","14",11,0.9968,NA,0,8.3956,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000404125.1_Version_1_Erwinia_tracheiphila_PSU-1_genomic_summary/GCF_000404125.1_Version_1_Erwinia_tracheiphila_PSU-1_genomic_virus_summary.tsv"
"347","NZ_KE136308.1|provirus_81272_101732",20461,"Provirus","81272-101732","30",11,0.9957,NA,6,21.6008,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000404125.1_Version_1_Erwinia_tracheiphila_PSU-1_genomic_summary/GCF_000404125.1_Version_1_Erwinia_tracheiphila_PSU-1_genomic_virus_summary.tsv"
"348","NZ_KE136310.1|provirus_486573_530207",43635,"Provirus","486573-530207","36",11,0.9952,NA,4,33.4566,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000404125.1_Version_1_Erwinia_tracheiphila_PSU-1_genomic_summary/GCF_000404125.1_Version_1_Erwinia_tracheiphila_PSU-1_genomic_virus_summary.tsv"
"349","NZ_KE136311.1|provirus_1_11011",11011,"Provirus","1-11011","10",11,0.9935,NA,2,7.8324,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000404125.1_Version_1_Erwinia_tracheiphila_PSU-1_genomic_summary/GCF_000404125.1_Version_1_Erwinia_tracheiphila_PSU-1_genomic_virus_summary.tsv"
"350","NZ_KE136309.1|provirus_646702_665610",18909,"Provirus","646702-665610","18",11,0.9908,NA,1,11.2536,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000404125.1_Version_1_Erwinia_tracheiphila_PSU-1_genomic_summary/GCF_000404125.1_Version_1_Erwinia_tracheiphila_PSU-1_genomic_virus_summary.tsv"
"351","NZ_KE136313.1|provirus_65919_90004",24086,"Provirus","65919-90004","32",11,0.9906,NA,2,15.1584,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000404125.1_Version_1_Erwinia_tracheiphila_PSU-1_genomic_summary/GCF_000404125.1_Version_1_Erwinia_tracheiphila_PSU-1_genomic_virus_summary.tsv"
"352","NZ_KE136334.1",2505,"No","terminal","repeats",NA,3,11,0.8525,NA,"0","GCF_000404125.1_Version_1_Erwinia_tracheiphila_PSU-1_genomic_summary/GCF_000404125.1_Version_1_Erwinia_tracheiphila_PSU-1_genomic_virus_summary.tsv"
"353","NZ_JFHN01000040.1",10048,"No","terminal","repeats",NA,11,11,0.9996,NA,"8","GCF_000590885.1_MSR-CA7.0_genomic_summary/GCF_000590885.1_MSR-CA7.0_genomic_virus_summary.tsv"
"354","NZ_JFHN01000041.1",20524,"No","terminal","repeats",NA,31,11,0.9994,NA,"14","GCF_000590885.1_MSR-CA7.0_genomic_summary/GCF_000590885.1_MSR-CA7.0_genomic_virus_summary.tsv"
"355","NZ_BAYW01000018.1|provirus_113585_125047",11463,"Provirus","113585-125047","14",11,0.9938,NA,4,7.2154,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000696075.1_ASM69607v1_genomic_summary/GCF_000696075.1_ASM69607v1_genomic_virus_summary.tsv"
"356","NZ_BAYW01000032.1",3985,"No","terminal","repeats",NA,4,11,0.7483,NA,"0","GCF_000696075.1_ASM69607v1_genomic_summary/GCF_000696075.1_ASM69607v1_genomic_virus_summary.tsv"
"357","NZ_JQNE01000001.1|provirus_285225_337758",52534,"Provirus","285225-337758","67",11,0.9996,NA,39,81.0646,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000745075.1_ASM74507v1_genomic_summary/GCF_000745075.1_ASM74507v1_genomic_virus_summary.tsv"
"358","NZ_JQNE01000001.1|provirus_900073_962714",62642,"Provirus","900073-962714","96",11,0.9995,NA,18,83.3417,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000745075.1_ASM74507v1_genomic_summary/GCF_000745075.1_ASM74507v1_genomic_virus_summary.tsv"
"359","NZ_JNVB01000022.1|provirus_1_8230",8230,"Provirus","1-8230","12",11,0.9998,NA,3,11.904,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000770305.1_ASM77030v1_genomic_summary/GCF_000770305.1_ASM77030v1_genomic_virus_summary.tsv"
"360","NZ_JNVB01000040.1|provirus_33325_40017",6693,"Provirus","33325-40017","10",11,0.9998,NA,1,10.4983,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000770305.1_ASM77030v1_genomic_summary/GCF_000770305.1_ASM77030v1_genomic_virus_summary.tsv"
"361","NZ_JNVB01000147.1",2603,"No","terminal","repeats",NA,4,11,0.9997,NA,"2","GCF_000770305.1_ASM77030v1_genomic_summary/GCF_000770305.1_ASM77030v1_genomic_virus_summary.tsv"
"362","NZ_JNVB01000155.1",1351,"No","terminal","repeats",NA,3,11,0.9992,NA,"1","GCF_000770305.1_ASM77030v1_genomic_summary/GCF_000770305.1_ASM77030v1_genomic_virus_summary.tsv"
"363","NZ_JNVB01000123.1",6010,"No","terminal","repeats",NA,11,11,0.9991,NA,"7","GCF_000770305.1_ASM77030v1_genomic_summary/GCF_000770305.1_ASM77030v1_genomic_virus_summary.tsv"
"364","NZ_JNVB01000110.1",7700,"No","terminal","repeats",NA,8,11,0.9859,NA,"0","GCF_000770305.1_ASM77030v1_genomic_summary/GCF_000770305.1_ASM77030v1_genomic_virus_summary.tsv"
"365","NZ_JNVB01000034.1|provirus_2_25318",25317,"Provirus","2-25318","25",11,0.9744,NA,7,15.1914,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000770305.1_ASM77030v1_genomic_summary/GCF_000770305.1_ASM77030v1_genomic_virus_summary.tsv"
"366","NZ_JRUQ01000110.1",13210,"No","terminal","repeats",NA,13,11,0.9997,NA,"4","GCF_000773975.1_ASM77397v1_genomic_summary/GCF_000773975.1_ASM77397v1_genomic_virus_summary.tsv"
"367","NZ_JRUQ01000136.1",3874,"No","terminal","repeats",NA,4,11,0.9997,NA,"4","GCF_000773975.1_ASM77397v1_genomic_summary/GCF_000773975.1_ASM77397v1_genomic_virus_summary.tsv"
"368","NZ_JRUQ01000105.1",20080,"No","terminal","repeats",NA,25,11,0.9997,NA,"12","GCF_000773975.1_ASM77397v1_genomic_summary/GCF_000773975.1_ASM77397v1_genomic_virus_summary.tsv"
"369","NZ_JRUQ01000076.1|provirus_18045_57202",39158,"Provirus","18045-57202","51",11,0.9993,NA,17,58.6518,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000773975.1_ASM77397v1_genomic_summary/GCF_000773975.1_ASM77397v1_genomic_virus_summary.tsv"
"370","NZ_JRUQ01000018.1|provirus_49813_82603",32791,"Provirus","49813-82603","41",11,0.9992,NA,23,44.6069,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000773975.1_ASM77397v1_genomic_summary/GCF_000773975.1_ASM77397v1_genomic_virus_summary.tsv"
"371","NZ_JRUQ01000062.1|provirus_38063_53788",15726,"Provirus","38063-53788","22",11,0.999,NA,7,14.5072,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000773975.1_ASM77397v1_genomic_summary/GCF_000773975.1_ASM77397v1_genomic_virus_summary.tsv"
"372","NZ_JRUQ01000018.1|provirus_89821_134216",44396,"Provirus","89821-134216","63",11,0.9986,NA,13,48.0312,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000773975.1_ASM77397v1_genomic_summary/GCF_000773975.1_ASM77397v1_genomic_virus_summary.tsv"
"373","NZ_JRUQ01000048.1",13911,"No","terminal","repeats",NA,30,11,0.9978,NA,"2","GCF_000773975.1_ASM77397v1_genomic_summary/GCF_000773975.1_ASM77397v1_genomic_virus_summary.tsv"
"374","NZ_JRUQ01000072.1",8879,"No","terminal","repeats",NA,9,11,0.9974,NA,"0","GCF_000773975.1_ASM77397v1_genomic_summary/GCF_000773975.1_ASM77397v1_genomic_virus_summary.tsv"
"375","NZ_JRUQ01000067.1",15725,"No","terminal","repeats",NA,21,11,0.9972,NA,"2","GCF_000773975.1_ASM77397v1_genomic_summary/GCF_000773975.1_ASM77397v1_genomic_virus_summary.tsv"
"376","NZ_JRUQ01000056.1|provirus_46575_57038",10464,"Provirus","46575-57038","16",11,0.9921,NA,1,5.589,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000773975.1_ASM77397v1_genomic_summary/GCF_000773975.1_ASM77397v1_genomic_virus_summary.tsv"
"377","NZ_JRUQ01000020.1",3093,"No","terminal","repeats",NA,5,11,0.969,NA,"0","GCF_000773975.1_ASM77397v1_genomic_summary/GCF_000773975.1_ASM77397v1_genomic_virus_summary.tsv"
"378","NZ_JXNU01000002.1",11793,"No","terminal","repeats",NA,19,11,0.9997,NA,"10","GCF_000975275.1_ASM97527v1_genomic_summary/GCF_000975275.1_ASM97527v1_genomic_virus_summary.tsv"
"379","NZ_JXNU01000003.1|provirus_3330162_3377929",47768,"Provirus","3330162-3377929","77",11,0.9996,NA,12,85.3923,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000975275.1_ASM97527v1_genomic_summary/GCF_000975275.1_ASM97527v1_genomic_virus_summary.tsv"
"380","NZ_JXNU01000003.1|provirus_2859449_2872332",12884,"Provirus","2859449-2872332","17",11,0.9996,NA,13,21.2905,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000975275.1_ASM97527v1_genomic_summary/GCF_000975275.1_ASM97527v1_genomic_virus_summary.tsv"
"381","NZ_JXNU01000003.1|provirus_4214980_4248004",33025,"Provirus","4214980-4248004","47",11,0.9995,NA,16,47.8104,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000975275.1_ASM97527v1_genomic_summary/GCF_000975275.1_ASM97527v1_genomic_virus_summary.tsv"
"382","NZ_JXNU01000005.1|provirus_300516_312223",11708,"Provirus","300516-312223","17",11,0.9995,NA,7,20.3728,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000975275.1_ASM97527v1_genomic_summary/GCF_000975275.1_ASM97527v1_genomic_virus_summary.tsv"
"383","NZ_JXNU01000005.1|provirus_2_7246",7245,"Provirus","2-7246","18",11,0.9994,NA,2,13.2935,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000975275.1_ASM97527v1_genomic_summary/GCF_000975275.1_ASM97527v1_genomic_virus_summary.tsv"
"384","NZ_JXNU01000006.1|provirus_7588_23583",15996,"Provirus","7588-23583","28",11,0.9994,NA,15,29.9569,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000975275.1_ASM97527v1_genomic_summary/GCF_000975275.1_ASM97527v1_genomic_virus_summary.tsv"
"385","NZ_JXNU01000004.1|provirus_67660_80029",12370,"Provirus","67660-80029","19",11,0.9993,NA,10,19.6905,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000975275.1_ASM97527v1_genomic_summary/GCF_000975275.1_ASM97527v1_genomic_virus_summary.tsv"
"386","NZ_JXNU01000005.1|provirus_38336_73191",34856,"Provirus","38336-73191","51",11,0.9991,NA,19,54.1507,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000975275.1_ASM97527v1_genomic_summary/GCF_000975275.1_ASM97527v1_genomic_virus_summary.tsv"
"387","NZ_JXNU01000001.1|provirus_760_22782",22023,"Provirus","760-22782","28",11,0.9991,NA,6,26.6941,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000975275.1_ASM97527v1_genomic_summary/GCF_000975275.1_ASM97527v1_genomic_virus_summary.tsv"
"388","NZ_JXNU01000003.1|provirus_1660678_1701883",41206,"Provirus","1660678-1701883","51",11,0.999,NA,19,43.5372,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000975275.1_ASM97527v1_genomic_summary/GCF_000975275.1_ASM97527v1_genomic_virus_summary.tsv"
"389","NZ_JXNU01000003.1|provirus_73_25087",25015,"Provirus","73-25087","42",11,0.9988,NA,14,36.6855,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000975275.1_ASM97527v1_genomic_summary/GCF_000975275.1_ASM97527v1_genomic_virus_summary.tsv"
"390","NZ_JXNU01000001.1|provirus_241003_257362",16360,"Provirus","241003-257362","22",11,0.9988,NA,11,20.6422,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000975275.1_ASM97527v1_genomic_summary/GCF_000975275.1_ASM97527v1_genomic_virus_summary.tsv"
"391","NZ_JXNU01000003.1|provirus_1821201_1855833",34633,"Provirus","1821201-1855833","48",11,0.9987,NA,16,38.8266,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000975275.1_ASM97527v1_genomic_summary/GCF_000975275.1_ASM97527v1_genomic_virus_summary.tsv"
"392","NZ_JXNU01000003.1|provirus_3407873_3450663",42791,"Provirus","3407873-3450663","44",11,0.9983,NA,11,38.1451,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000975275.1_ASM97527v1_genomic_summary/GCF_000975275.1_ASM97527v1_genomic_virus_summary.tsv"
"393","NZ_JXNU01000003.1|provirus_1953760_2019476",65717,"Provirus","1953760-2019476","93",11,0.9979,NA,10,70.8047,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000975275.1_ASM97527v1_genomic_summary/GCF_000975275.1_ASM97527v1_genomic_virus_summary.tsv"
"394","NZ_JXNU01000003.1|provirus_4270773_4281222",10450,"Provirus","4270773-4281222","16",11,0.9976,NA,7,10.2044,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000975275.1_ASM97527v1_genomic_summary/GCF_000975275.1_ASM97527v1_genomic_virus_summary.tsv"
"395","NZ_JXNU01000003.1|provirus_1563817_1622468",58652,"Provirus","1563817-1622468","78",11,0.9966,NA,5,44.7381,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000975275.1_ASM97527v1_genomic_summary/GCF_000975275.1_ASM97527v1_genomic_virus_summary.tsv"
"396","NZ_JXNU01000003.1|provirus_3669151_3680513",11363,"Provirus","3669151-3680513","21",11,0.9944,NA,0,11.0255,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000975275.1_ASM97527v1_genomic_summary/GCF_000975275.1_ASM97527v1_genomic_virus_summary.tsv"
"397","NZ_JXNU01000001.1|provirus_75773_100082",24310,"Provirus","75773-100082","39",11,0.9943,NA,2,15.5037,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000975275.1_ASM97527v1_genomic_summary/GCF_000975275.1_ASM97527v1_genomic_virus_summary.tsv"
"398","NZ_JXNU01000003.1|provirus_1415921_1433649",17729,"Provirus","1415921-1433649","26",11,0.9927,NA,2,10.0153,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000975275.1_ASM97527v1_genomic_summary/GCF_000975275.1_ASM97527v1_genomic_virus_summary.tsv"
"399","NZ_JXNU01000004.1|provirus_778_13149",12372,"Provirus","778-13149","18",11,0.992,NA,1,10.0323,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000975275.1_ASM97527v1_genomic_summary/GCF_000975275.1_ASM97527v1_genomic_virus_summary.tsv"
"400","NZ_JXNU01000003.1|provirus_334167_356523",22357,"Provirus","334167-356523","33",11,0.9911,NA,6,21.6008,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_000975275.1_ASM97527v1_genomic_summary/GCF_000975275.1_ASM97527v1_genomic_virus_summary.tsv"
"401","NZ_CAHS01000002.1|provirus_37618_49903",12286,"Provirus","37618-49903","19",11,0.9988,NA,1,15.1184,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_001050515.1_ASM105051v1_genomic_summary/GCF_001050515.1_ASM105051v1_genomic_virus_summary.tsv"
"402","NZ_CAHS01000021.1|provirus_46027_84317",38291,"Provirus","46027-84317","49",11,0.994,NA,19,37.8336,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_001050515.1_ASM105051v1_genomic_summary/GCF_001050515.1_ASM105051v1_genomic_virus_summary.tsv"
"403","NZ_LMLK01000021.1|provirus_161571_204618",43048,"Provirus","161571-204618","58",11,0.9996,NA,15,66.4937,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_001422605.1_Leaf53_genomic_summary/GCF_001422605.1_Leaf53_genomic_virus_summary.tsv"
"404","NZ_LMLK01000012.1|provirus_302056_335445",33390,"Provirus","302056-335445","42",11,0.9996,NA,21,48.4905,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_001422605.1_Leaf53_genomic_summary/GCF_001422605.1_Leaf53_genomic_virus_summary.tsv"
"405","NZ_LMLK01000003.1|provirus_200993_254090",53098,"Provirus","200993-254090","63",11,0.9994,NA,17,58.2661,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_001422605.1_Leaf53_genomic_summary/GCF_001422605.1_Leaf53_genomic_virus_summary.tsv"
"406","NZ_LMLK01000027.1|provirus_127747_199683",71937,"Provirus","127747-199683","90",11,0.9992,NA,15,67.9447,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_001422605.1_Leaf53_genomic_summary/GCF_001422605.1_Leaf53_genomic_virus_summary.tsv"
"407","NZ_BCTN01000027.1",46117,"No","terminal","repeats",NA,63,11,0.9995,NA,"18","GCF_001571305.1_ASM157130v1_genomic_summary/GCF_001571305.1_ASM157130v1_genomic_virus_summary.tsv"
"408","NZ_BCTN01000010.1|provirus_35379_50140",14762,"Provirus","35379-50140","21",11,0.9991,NA,15,27.2473,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;","GCF_001571305.1_ASM157130v1_genomic_summary/GCF_001571305.1_ASM157130v1_genomic_virus_summary.tsv"
"409","NZ_BCTN01000041.1",8073,"No","terminal","repeats",NA,9,11,0.9278,NA,"2","GCF_001571305.1_ASM157130v1_genomic_summary/GCF_001571305.1_ASM157130v1_genomic_virus_summary.tsv"
"410","NZ_MAYS01000108.1",36273,"No","terminal","repeats",NA,43,11,0.9998,NA,"10","GCF_001756855.1_ASM175685v1_genomic_summary/GCF_001756855.1_ASM175685v1_genomic_virus_summary.tsv"
"411","NZ_MAYS01000122.1",3275,"No","terminal","repeats",NA,7,11,0.9998,NA,"6","GCF_001756855.1_ASM175685v1_genomic_summary/GCF_001756855.1_ASM175685v1_genomic_virus_summary.tsv"
"412","NZ_MAYS01000559.1",3997,"No","terminal","repeats",NA,6,11,0.9998,NA,"5","GCF_001756855.1_ASM175685v1_genomic_summary/GCF_001756855.1_ASM175685v1_genomic_virus_summary.tsv"
"413","NZ_MAYS01000142.1",40586,"No","terminal","repeats",NA,62,11,0.9998,NA,"10","GCF_001756855.1_ASM175685v1_genomic_summary/GCF_001756855.1_ASM175685v1_genomic_virus_summary.tsv"
"414","NZ_MAYS01000499.1",6950,"No","terminal","repeats",NA,9,11,0.9998,NA,"5","GCF_001756855.1_ASM175685v1_genomic_summary/GCF_001756855.1_ASM175685v1_genomic_virus_summary.tsv"
"415","NZ_MAYS01000123.1",2531,"No","terminal","repeats",NA,4,11,0.9997,NA,"4","GCF_001756855.1_ASM175685v1_genomic_summary/GCF_001756855.1_ASM175685v1_genomic_virus_summary.tsv"
"416","NZ_MAYS01000195.1",5413,"No","terminal","repeats",NA,9,11,0.9997,NA,"3","GCF_001756855.1_ASM175685v1_genomic_summary/GCF_001756855.1_ASM175685v1_genomic_virus_summary.tsv"
"417","NZ_MAYS01000376.1",1713,"No","terminal","repeats",NA,3,11,0.9997,NA,"2","GCF_001756855.1_ASM175685v1_genomic_summary/GCF_001756855.1_ASM175685v1_genomic_virus_summary.tsv"
